jobname,money,company_name,p_bot,industry,job_bt
自然语言处理,25k-50k,360,"25k-50k,经验3-5年,本科","移动互联网,游戏 / 上市公司","
职位描述：

职位描述： 1. 给搜索团队提供NLP相关的技术支持，将NLP技术应用于网页搜索和各种垂直搜索引擎的研发中；
2. 研发的系统包括：分词、纠错、相关搜索、知识图谱构建、query rewrite、分类、聚类、content match等；
3. 以NLP技术为基础结合数据挖掘技术探索搜索系统的新的产品形态，提升搜索的用户体验  任职要求： 1. 有NLP领域的理论基础和实践经验，参与开发过相关的中大型系统；
2. 熟悉机器学习和数据挖掘理论，有相关经验者优先；
3. 掌握C/C++的系统开发，有hadoop开发经验，熟悉linux下的shell编程，至少掌握一门脚本语言；
4. 对搜索引擎、推荐系统、大数据挖掘等方向有浓厚的兴趣，有很强的自学能力。
 

"
自然语言处理,15k-30k,Udesk－企业级智能客服平台,"15k-30k,经验1-3年,本科",其他 / B轮,"
职位描述：

#职位描述：
+ 基于现有业务的文本数据，提升对话系统在多领域、场景下的体验；
+ 语义对话引擎的相关开发，以及新技术和方向的研究。 

#职位要求：
+ 具有1年以上NLP、智能对话相关工作经验，硕士以上学历；
+ 熟练掌握自然语言处理领域的基础理论和方法；
+ 熟练掌握一门以上计算机语言；
+ 有语音识别经验优先。

职位亮点：
Udesk是国内领先的企业级智能客服平台，拥有数千家企业用户，为企业提供了一套集智能问答、即时通讯、VoIP、工单、知识库、数据分析为一体的完整的客服系统解决方案。
Udesk知名客户有海底捞、星巴克、凯撒旅游、中青旅耀悦、金山WPS、每日优鲜、58转转、宝洁等。覆盖了餐饮、本地生活、旅游、O2O、企业服务等行业。
Udesk去年6月完成B轮1亿人民币融资，投资方为君联资本、DCM。公司收入增长迅速，有大量的付费用户并开始盈利。
Udesk前端用Ember.js，后台用Java、Ruby、Go。日接口调用量超过200,000,000次。

"
nlp,20k-40k,泛微,"20k-40k,经验1-3年,硕士","移动互联网,企业服务 / 上市公司","
职位描述：

职位描述：    
1、利用相关技术和算法，提供文本分析相关的基础方案与服务；     
2、针对海量文本内容进行中文分词、语义识别、自动聚类等文本挖掘工作；     
3、负责搭建相关的机器学习 & 大数据计算平台；    
4、负责数据和业务的紧密集合。    
任职要求：    
1、熟练掌握自然语言处理NLP相关理论与技术方法；    
2、熟练掌握使用java，数学正则，至少掌握一种脚本语言；    
3、熟悉中英文分词、词性标注、实体识别、句法分析、自动文本分类，关键值提取等自然语言处理技术，熟悉语义分析方法和技术（相似度计算、本体理论、语义推理等）；    
4、熟悉人机对话的前沿方向和研究方向；    
5、熟悉了解人工智能、机器学习等领域的前沿方向与研究动向；    
6、具备将机器学习与自然语言处理的理论转化为实践的能力；    
7、具有相关项目研发经验者（项目主要参与人员）优先；    
8、1年经验，硕士学历以上。    

"
自然语言分析+nlp,4k-8k,东方国信,"4k-8k,经验1-3年,大专",数据服务 / 上市公司,"
职位描述：

负责智能文档提取，情绪分析的开发；2.负责家族和人物关系图谱的构建；3.负责自动摘要、query改写、意图识别等文本挖掘工作。任职要求：1.计算机相关专业硕士研究生及以上学历，从事NLP相关工作两年以上经验；2.掌握NLP基本技术，如分词、文本分类、关键词提取、文本纠错等；3.具备良好的C++/java/python/GO编程能力；4.熟悉深度学习在NLP的应用，掌握tensorflow/keras/pytorch等开源工具；5.有语义相似度计算、智能问答系统、知识图谱构建相关经验的优先考虑。
岗位要求： 1、熟练掌握自然语言处理NLP相关理论与技术方法； 2、熟练掌握使用python； 3、了解爬虫原理； 3、熟悉知识图谱、知识推理、图形数据库等概念； 4、熟悉中文分词、词性标注、实体识别、句法分析、自动文本分类，关键值提取等自然语言处理技术，熟悉语义分析方法和技术（相似度计算、本体理论、语义推理等）； 5、熟悉人机对话的前沿方向和研究方向； 6、熟悉了解人工智能、机器学习等领域的前沿方向与研究动向； 7、具备将机器学习与自然语言处理的理论转化为实践的能力； 8、具有相关项目研发经验者（项目主要参与人员）优先。

"
自然语言处理,30k-50k,Udesk－企业级智能客服平台,"30k-50k,经验3-5年,硕士",其他 / B轮,"
职位描述：

#职位描述：
+ 基于现有业务的文本数据，提升对话系统在多领域、场景下的体验；
+ 语义对话引擎的相关开发，以及新技术和方向的研究。 

#职位要求：
+ 具有3年以上NLP、智能对话相关工作经验，硕士以上学历；
+ 熟练掌握自然语言处理领域的基础理论和方法；
+ 熟练掌握一门以上计算机语言；
+ 有语音识别经验优先。

职位亮点：
Udesk是国内领先的企业级智能客服平台，拥有数千家企业用户，为企业提供了一套集智能问答、即时通讯、VoIP、工单、知识库、数据分析为一体的完整的客服系统解决方案。
Udesk知名客户有海底捞、星巴克、凯撒旅游、中青旅耀悦、金山WPS、每日优鲜、58转转、宝洁等。覆盖了餐饮、本地生活、旅游、O2O、企业服务等行业。
Udesk去年6月完成B轮1亿人民币融资，投资方为君联资本、DCM。公司收入增长迅速，有大量的付费用户并开始盈利。
Udesk前端用Ember.js，后台用Java、Ruby、Go。日接口调用量超过200,000,000次。

"
自然语言处理工程师,25k-50k,360,"25k-50k,经验1-3年,本科","移动互联网,游戏 / 上市公司","
职位描述：

职位描述：
1. 研究自然语言处理领域前沿技术，利用常用理论和方法解决实际问题；

2. 技术深度优化，包括用户标签，文本分类和聚类，拼写纠错，term重要度，中心词提取，分词及标注等；

3. 技术推广，跨团队交流与合作，做项目和技术方案规划。
任职要求：
1. 自然语言处理、文本检索、模式识别、机器学习相关专业硕士以上学历，2年以上工作经历；

2. 在query处理、文本分类、序列标注、语言模型、topic模型、概率相关性和成分分析等一个或多个方面有实践经验和深入分析；

3. 了解linux开发环境，有较强的c/c++编程背景和算法基础，有python、shell等脚本处理经验者更佳；

4. 优秀的沟通能力，有创新精神，乐于接受挑战，能承受工作压力。

有如下经历者优先

1. 有个人技术博客或活跃在各技术社区；

2. 对deep learning有一定研究和实践经验。

"
自然语言处理工程师,15k-30k,泛微,"15k-30k,经验1年以下,硕士","移动互联网,企业服务 / 上市公司","
职位描述：

岗位职责：    
1、利用相关技术和算法，提供文本分析相关的基础方案与服务；     
2、针对海量文本内容进行中文分词、语义识别、自动聚类等文本挖掘工作；     
3、负责搭建相关的机器学习 & 大数据计算平台；    
4、负责数据和业务的紧密集合。    

任职要求：
1、熟练掌握自然语言处理NLP相关理论与技术方法；    
2、熟练掌握使用java，数学正则，至少掌握一种脚本语言；    
3、熟悉中英文分词、词性标注、实体识别、句法分析、自动文本分类，关键值提取等自然语言处理技术，熟悉语义分析方法和技术（相似度计算、本体理论、语义推理等）；    
4、熟悉人机对话的前沿方向和研究方向；    
5、熟悉了解人工智能、机器学习等领域的前沿方向与研究动向；    
6、具备将机器学习与自然语言处理的理论转化为实践的能力；    
7、具有相关项目研发经验者（项目主要参与人员）优先；    
  
 

"
自然语言处理,20k-40k,数美,"20k-40k,经验1-3年,本科","企业服务,数据服务 / B轮","
职位描述：

工作职责：
——分析处理海量用户文本数据
——对文本数据进行特征抽取
——构建机器学习模型区分用户行为

任职要求：
——计算机或相关专业，具有一年以上自然语言处理相关的工作经验
——熟悉python及相关机器学习工具
——精通统计语言模型和相关机器学习核心算法
——熟练掌握自然语言处理的算法和技术，具有分词、新词发现、实体词抽取、文本分类、舆情分析等相关的项目经验
——熟悉hadoop、spark等分布式平台


【关于数美】www.ishumei.com
  数美（全称北京数美时代科技有限公司）成立于2015年6月，是一家专业的大数据科技公司。数美依托先进的核心AI技术和海量的数据基础，致力于解决多场景欺诈问题，为客户提供专业、可信赖的服务。团队均来自百度、阿里、腾讯、360、小米等顶尖互联网公司，在大数据、人工智能、机器学习、金融风控等领域有着丰富的实践经验。目前，业务已覆盖金融、支付、直播、社交、电商、O2O等为代表的多个行业领域，其中包括中信银行、用钱宝、人人贷、51信用卡、360、小米、58同城、爱奇艺、熊猫直播、花椒、唱吧等知名企业，截止到2017年6月，服务客户突破1000家。作为大数据反欺诈专业品牌，数美将持续挖掘数据价值，为金融机构、互联网企业提供智能、创新的一站式反欺诈综合解决方案

…………………………………………………………………………
了解更多
数美公司介绍
https://www.ishumei.com/aboutUs/introduction.html 
数美团队介绍
https://www.ishumei.com/aboutUs/team.html 
数美产品介绍
https://www.ishumei.com/product/creditFengkong.html 
数美解决方案介绍
https://www.ishumei.com/solution/finance.html

"
自然语言处理,30k-40k,爱奇艺,"30k-40k,经验3-5年,硕士","广告营销,文化娱乐 / D轮及以上","
职位描述：

* 爱奇艺福利：14薪、12天年假，超一流的行政团队，日常活动多多, 没有996，周一到周五及周末自愿加班都有丰厚的加班补贴   
* 团队介绍：
   * 我们是一个信仰技术的团队，在这里，我们用技术说话，相信技术和人工智能能改变生活。目前团队负责爱奇艺全网视频、全网娱乐、资讯等的文本分类、舆情分析，及为搜索、推荐、广告等公司业务提供核心的NLP基础服务，同时也负责爱奇艺的智能对话和智能机器人及知识图谱
   * 我们有每天千万级别的用户独立搜索query，大量的用户评论及弹幕数据，也有亿级别的视频及文本语料  
        
薪资：30k+，能力优秀者不受限    

#### 岗位职责：                                                         
1. 负责分词、词性分析、实体识别、新词发现等NLP研究工作；                                                  
2. 负责查询分析/查询改写/查询意图识别等工作；                                                  
3. 应用NLP数据挖掘算法解决搜索相关问题                                          
4. 负责知识图谱的挖掘        
                                                      
#### 岗位要求：                                                         
1. 计算机相关专业硕士以上学历，3年以上相关工作经验；                                                         
2. 有自然语言处理、文本分类、舆情分析、深度学习等相关的项目经验  
3. 有较强的算法基础和c/c++编码能力；                                                                                                                
4. 有较强的分析问题解决问题能力，工作踏实上进；有良好的团队合作意识
5. 喜欢技术、喜欢专研   

"
策略算法高级工程师-智能交互/NLP,25k-50k,美团点评,"25k-50k,经验3-5年,本科","移动互联网,O2O / D轮及以上","
职位描述：

岗位职责：
1. 负责美团出行语音识别/图像处理/智能QA/NLP等技术研发，设计和优化智能客服/智能预警分析/智能判责的核心策略算法，提升用户满意度和运营效率；
2. 负责语料获取和挖掘，发挥数据价值；
工作要求：
1. 熟悉NLP/文本分类/Query分析/对话分析等相关技术，具备离线建模挖掘和在线实现优化能力；
2. 优秀的业务理解和问题分析能力，对复杂业务场景有好奇心，对挑战性问题充满激情；
3. 编程基础扎实，计算机相关专业硕士以上学历

"
