jobname,money,company_name,p_bot,industry,job_bt
语音识别高级研发工程师,15k-30k,好未来,"15k-30k,经验1-3年,本科","移动互联网,教育 / 上市公司","
职位描述：

工作职责：1. 负责学而思网校语音识别解码器的研发和优化2. 负责沟通、承接和实施语音识别业务的需求工作要求：1. 为人踏实负责，喜欢在线教育行业2. 本科及以上学历，工作2年及以上3. 精通c/c++语言，熟练常用的数据结构4. 熟悉常用的算法和设计模式5. 有语音识别背景者优先6. 有机器学习背景者优先
代码写的好的

"
语音识别算法工程师（ASR）,20k-40k,捷通华声,"20k-40k,经验不限,硕士","移动互联网,数据服务 / 不需要融资","
职位描述：

职位描述：1. 负责语音识别（ASR）的算法研究和工程实现； 2. 负责跟进行业前沿技术发展趋势，跟踪国际最新算法发展方向和相应技术。

任职资格：1. 毕业于211或985院校、统招硕士以上学历，计算机相关专业；2. 了解当前联机手写识别的方法，能够跟踪最新的研究方向；3. 了解语音信号处理/语言模型/模式识别/统计分析的相关背景知识；4. 熟练掌握Python/Matlab/C++，有一定的软件开发项目经验；5. 能够流畅阅读英文文献6. 有相关工作经历或实验室背景优先；7. 有LR/GMM/SVM/CRF/MaxEnt/HMM/DNN/CNN/RNN的研究背景者优先；8. 能够在熟练掌握CUDA编程，能够无障碍阅读英文论文，9. 能够在Kaldi/TensorFlow/Torch/Theano/Keras/Mxnet/Currennt上开展实验者优先。

"
语音识别算法研究员,15k-30k,马上金融,"15k-30k,经验3-5年,硕士","金融,移动互联网 / 不需要融资","
职位描述：

岗位职责:
1、 从事语音识别、深度学习等方面的应用研究和开发工作  2、 参与语音识别产品项目的全流程开发；  3、 负责语音数据采集、识别模型建立、模型优化工作；  4、 负责语音识别项目的商业化落地和算法优化。
任职要求：
1、 信号处理、计算机、电子信息、数学等相关专业硕士及以上学历；  2、 能够独立从事语音识别算法的研究和语音识别引擎的开发移植工作；  3、 有深度学习研发经历，熟悉相关开源工具，有大规模语音识别训练经验；  4、 熟练使用C/C++、Java、Python其中一种开发语言 ； 6、 具有相关3年以上相关工作经验。

"
语音识别算法工程师,20k-40k,奇点机智,"20k-40k,经验1-3年,本科",移动互联网 / A轮,"
职位描述：

工作职责:

-负责语音识别技术的研究，

-负责声学模型、语言模型、解码器三个方向之一的相关工作

职责要求:

-具有良好的数学功底

-具有很强的分析问题和解决问题的能力，对解决具有挑战性问
题充满激情

-有强烈的上进心和求知欲，自我管理能力强，有良好的时间意识

-对语音识别的算法细节有深刻的了解

-有深度学习和tensorflow经验者优先

-深入了解声学建模的过程，以及具体训练算法

-主导开发过应用级别的语音识别系统

-在Interspeech，ICASSP等语音学术会议中有论文发表者优先

我们从零开始创建一个中文的端到端的基于DNN的语音识别系统已经上线了，你想尝试吗？


"
TEG13-说话人识别和语种识别算法工程师（北京）,20k-40k,腾讯,"20k-40k,经验3-5年,硕士","移动互联网 ,游戏 / 上市公司","
职位描述：

工作内容：
负责大数据背景下的身份识别和语种识别；
提高复杂场景下（远讲，噪声，信道），国内各少数民族语种的辨别和分类能力；
提高复杂场景下（远讲，噪声，信道），身份验证和分类的精确度。

工作要求：
硕士或及以上学历，计算机，信号处理、模式识别，自动化相关专业；
了解声纹识别领域的技术发展情况，掌握声纹识别方向的主流算法，有过开发声纹识别系统或其中某一模块（前端、特征、建模、匹配）的经历；
扎实的特征变换，模型选择和模式分类功底；
熟练掌握 C/C++, 编程能力强；熟悉 Linux 环境开发；熟悉一门脚本语言（Perl, Python, Ruby）；

参加NIST等评测取的较好名次者优先；

对说话人，语种韵律模型有深入研究者优先；

良好的沟通能力与团队协作精神；

开发过商用说话人和语种识别系统者优先；

在ICASSP, INTERSPEECH, ASRU， CSL, Speech Communication等知名会议和期刊发表过论文者优先。

"
(高级)语音识别工程师-人工智能方向,15k-30k,乐视,"15k-30k,经验3-5年,本科",移动互联网 / 上市公司,"
职位描述：

职位描述：
1. 负责语音识别系统的模型训练和解码器开发；
2. 负责语音识别引擎的开发和产品化；
3. 持续提升语音识别引擎的识别率。
 
职位要求：
1. 计算机,电子工程，信息工程相关专业本科及以上学历；有语音信号处理相关经验，在声学模型、语言模型、语音增强等一个或多个方面有深入实践；
2. 精通 C/C ++编程，对数据结构和算法设计有较为深刻的理解；
3. 精通语音信号处理、语音识别算法，对各种机器学习算法有深入理解和应用经验，了解过DNN/LSTM/CNN的一种或多种；
4. 精通 VAD、鉴别性声学模型训练、解码器或识别算法优化；
5. 熟悉产品级语音识别系统的开发，了解国内外语音识别系统的发展现状；
6. 熟练掌握开源语音识别软件 HTK、 Juicer、 Julius和 Kaldi等系统者优先
7. 优秀的沟通能力、团队协作精神；

"
模式识别,15k-25k,天脉,"15k-25k,经验1-3年,硕士",数据服务 / D轮及以上,"
职位描述：

任职要求：1. 模式识别/图像处理/机器学习,计算机相关专业，研究生、博士生；
2. 精通C++编程，熟悉python，熟悉Linux编程；
3. 熟悉图像搜索常用算法；
- 熟悉各种特征描述子
- 熟悉图像检索的基本框架和各个环节的技术
- 熟悉常见的HASH算法
4. 有大规模数据的图像目标识别、检测经验优先；
5. 有基于深度学习的图像识别平台经验优先；
6. 优秀的交流沟通能力和团队精神，积极主动富于挑战；

"
虹膜识别工程师,25k-50k,京东金融,"25k-50k,经验3-5年,本科",金融 / 上市公司,"
职位描述：


职位描述

1.虹膜图像特征提取算法的应用实现；

2.对现有算法基于特定场景进行优化和改进，负责相关算法的产品化落地。



职位要求

1.扎实的python、C/C++算法编写能力；

2.具备扎实的数学、图像处理和模式识别基础知识，较强的算法设计和分析能力；

3.熟悉Gabor变换、小波变换并有实际经验者优先；

4.熟悉sift算子、hog算子并有实际经验者优先；

5.对图像分割深度学习方法有深入研究并有实际应用经验者优先；

6.对虹膜特征识别有深入研究和实际开发经验者优先。

"
研发工程师（识别算法）,30k-50k,一起作业网,"30k-50k,经验1-3年,本科","移动互联网,教育 / D轮及以上","
职位描述：

岗位职责：

参与文字识别和图形识别系统中各个功能模块的算法开发和性能优化的相关工作。

任职要求：

1. 计算机类相关专业本科（3年以上工作经验）或者硕士/博士以上学历，专业内容包含模式识别，机器学习，人工智能，数据挖掘方向者优先;

2. 熟练使用JAVA、或C/C++等,至少一门编程语言;

3. 有识别相关项目实际研发经验者优先。

4. 熟练使用Eclipse、MyEclipse和SVN,熟悉Linux操作系统优先；

5. 具备良好的编程风格，有创造性，对新知识敏感，有较强的学习和吸收能力；

6. 逻辑思路清晰，工作认真负责，良好的团队合作精神，对敏捷开发概念及流程有所了解；为人正直诚信、责任心强，能主动工作。

"
高级语音识别算法工程师,25k-50k,陌陌,"25k-50k,经验1-3年,硕士",社交网络 / 上市公司,"
职位描述：

岗位职责：
1、负责语音识别相关算法的研究与开发，包括语音前端处理、声学模型训练、语言模型训练；
2、负责声音信号增强和语音矫正；
3、研究国内外最新语音识别相关的先进技术；
要求：
1 、985高校、研究所或海外知名高校语音识别相关专业博士，优秀硕士亦可考虑；
2 、有较好的语音信号处理基础；
3 、有过两年以上工作经验者为佳；
4 、做过语音合成、语音情感分析、语音识别者优先考虑。

"
语音识别算法工程师,15k-30k,极限元,"15k-30k,经验不限,硕士","硬件,企业服务 / 天使轮","
职位描述：

职位描述：
1、负责语音识别相关算法的研究与开发，如语音前端处理、声学模型训练、语言模型训练、解码器； 
2、跟踪国内外最新的语音识别相关先进技术；
3、配合产品部门完成一些接口开发工作。
 
任职要求：
1、教育背景：信号处理、计算机、电子信息、自动化等相关专业硕士以上学历；
2、算法研究背景经验，对语音识别有较深入理解；在信号处理、声学建模、语言建模、多语种识别等一个或多个方面有较深入研究；有实用语音识别系统开发经验者尤佳；
3、有Linux操作系统下C/C++及脚本语言编程经验者尤佳，有kaldi工具箱开发经验的优先；
4、对语音识别的深入理解，具有模式识别专业知识，精通信号处理、语音识别核心算法；了解国内外语音识别技术的发展状况；
5、有规范的编程习惯与文档编写能力；较强的沟通和表达能力，良好的抗压能力，有较强的自学习能力和团队协作精神；
6、英文良好，阅读专业文献无障碍。

"
语音识别性能优化工程师,25k-50k,NIO蔚来,"25k-50k,经验3-5年,本科","移动互联网,硬件 / D轮及以上","
职位描述：


工作职责:


从事ARM／Linux／GPU平台指令级优化，包括具体产品优化以及通用计算库优化；
负责指令级优化计算库设计及使用文档；
参与服务器及嵌入式平台声学模型算法优化。任职要求:
电子/通信/数学等相关专业；
熟悉ARM/SSE/DSP/CUDA指令级优化，以及常用计算函数优化方法；
熟悉ARM/SSE/DSP/CUDA常用开发及profile工具；
具有良好的沟通能力和逻辑分析能力；
 有音视频信号处理相关优化经验者优先；
有深度学习相关优化经验者优先；
具有2年及以上相关工作经历（含硕士/博士期间的研究经历）。



"
语音识别算法工程师,20k-40k,先声教育,"20k-40k,经验1-3年,硕士",移动互联网 / A轮,"
职位描述：

【岗位职责】： 1.负责语音识别、信号处理相关算法的研究与开发，如语音前端处理、声学模型训练、语言模型训练、解码器 2.跟踪国内外最新的语音识别相关先进技术 3.配合产品部门完成一些接口工作
 【任职要求】： 1. 信号与信息处理，语音识别，图像处理，模式识别，机器学习, 数据挖掘, 统计以及相关专业985/211硕士以上学历;相关专业985/211本科且有一线互联网公司工作经验优先。 2. 熟练掌握主要的语音识别相关算法 3. 熟练掌握主要的模式识别和机器学习算法 4. 了解计算机基础理论和扎实的计算机编程功底 5. 良好的C／C++, python, Linux SHELL等编程能力 6. 良好的沟通能力和组织协调能力 

"
语言识别研究员,20k-40k,联想集团,"20k-40k,经验1-3年,硕士","移动互联网,数据服务 / 上市公司","
职位描述：

Position Description: 
1. 语音识别技术的研发；
2. 针对垂直场景的语音识别语义优化
Position Requirements:
 1. 熟悉语音处理的基本流程和相关算法；熟悉深度学习相关算法
2. 熟悉音频特征提取、声学模型、语言模型等语音识别的关键算法
3. 熟练使用至少一种开发语言，比如Java, python, C++等
语音处理、计算语言学、机器学习等相关专业；硕士及以上学历，工作2年以上

"
语音识别算法工程师,30k-60k,小米,"30k-60k,经验3-5年,本科",移动互联网 / D轮及以上,"
职位描述：

岗位职责：
1、负责语音识别相关算法的研究和开发，包括但不限于语音前端处理、声学模型训练、解码器开发优化；
2、跟踪国内外最新的技术情况。

任职要求：
1、熟悉语音信号处理、语音识别、神经网络等相关算法，了解识别、合成、增强各模块的关键技术；
2、熟练掌握Java/C/C++等其他编程语言；
3、有语音识别系统研发经验者优先。

"
高级语音识别算法工程师,20k-40k,马上金融,"20k-40k,经验5-10年,本科","金融,移动互联网 / 不需要融资","
职位描述：

工作职责：
1、负责语音识别技术算法研究与语音识别产品开发；
2、语音识别中声学模型相关算法的设计和实现，声学模型的训练和优化；
3、为语音识别相关模块提供机器学习算法和工具的支持
 
任职资格：
1、 学历要求：统招硕士以上学历、信号处理、计算机、电子信息等相关专业
2、 经验要求：3年以上语音识别相关算法研究 
3、 技术要求：
（1）熟悉开源工具（如Kaldi，CMUSphinx），有大规模语音系统训练经验；
（2）有算法研究背景经验，对语音识别有较深入理解, 熟悉相关算法（如DNN，GMM）
（3）在信号处理、声学建模、语言建模、深度学习等领域有较深入研究。
4、 通用要求：
（1）有较强的自学习能力和团队协作精神
（2）具有较好的沟通能力，思路清晰，善于思考，能独立分析和解决问题。 
（3）有强烈的责任心和团队合作精神，良好的抗压能力，心态积极，能主动融入团队。

"
