jobname,money,company_name,p_bot,industry,job_bt
机器学习,20k-40k,洋葱数学,"20k-40k,经验3-5年,本科","移动互联网,教育 / C轮","
职位描述：

我们能给你：

指数级增长的To c业务场景。全国98%以上的初中都有洋葱数学的用户；从去年中旬至今，日活、月活以及其它数据量基本都翻了一番。
技术选型的充分自由度。Spark / Kafka / MongoDB / PostgreSQL / Python / Shiny / Superset / H2O 等主流数据技术任意折腾。
良好的内部孵化环境，非常好的技术氛围，敏捷开发/等技术培训，技术书籍专项经费。
执行力强，想象力丰富，扁平化的团队；思维活跃，极客精神，代码洁癖的小伙伴们。


你的主要工作：

对产品与用户数据进行深入分析，发现数据背后的特征规律；
完成产品、市场、课程等部门提出的各类数据需求；
独立或与数据组其他成员共同完成机器学习与数据挖掘项目；
第三方统计平台的调研、部署、维护以及测试验证工作。


我们希望你： 

具有严谨、真诚的数据态度和主人翁精神，愿意与他人分享、交流；
热爱统计与数据分析，至少2年相关工作经验；
具备扎实的数据分析技能与数理统计基础，并能够快速学习使用新技术；
熟悉Python数据分析，了解常见数据库( 如Mongo / PostgreSql 等)；
熟悉时序分析,了解数据挖掘的思想。


当然，如果你还有机器学习 / 大数据 / 深度学习 / BI 等项目经验，我们会更欢迎你！投简历时别忘了附上你的Github链接。 

"
深度学习工程师,25k-50k,zilliz,"25k-50k,经验3-5年,本科","企业服务,数据服务 / A轮","
职位描述：

岗位描述：
负责深度学习算法的架构、设计、开发和测试

岗位要求：
1、计算机相关专业本科以上学历
2、2年以上应用深度学习算法开发商业项目经验
3、熟练掌握C/C++和Python
4、有1年以上TensorFlow使用经验，或者掌握其他至少一种深度学习框架(Caffe、MxNet、Theano、Torch中任一种)
5、会使用git进行代码协同管理
6、具备良好的文档编写能力
7、有很强的逻辑思维能力、独立解决问题能力和学习能力

有以下经历者优先：
1、985/211高校
2、有ACM等大赛经历
3、有CUDA并行编程及调优经验
4、在github发布或参与过其他开源项目
5、在技术博客或者论坛中发表文章

"
深度学习工程师,25k-40k,Video++,"25k-40k,经验3-5年,博士","数据服务,文化娱乐 / C轮","
职位描述：

We Need U

利用深度学习的技术进行前沿人工智能技术研发；
熟练掌握各种深度神经网络(CNN、RBN、RCNN、DNN等)，并能够将其应用于特定场景中去 
能够熟练的使用Caffe、Cuda-convnet、Theano、Torch等任一种主流的深度学习框架
编码和团队协作能力强，能够独立支撑一个研究方向，勇于挑战和创新，工作主动性强


Our Requirements

计算机、图像识别、自动化或者模式识别专业等相关领域的硕士以上学历，博士更佳，三年以上工作经历(特别优秀者可放宽)
能够熟练使用OpenCV，精通C/C++，Matlab，至少熟悉(Python、Perl、Ruby等)一种脚本语言，了解Linux开发环境，能够编写Makefile
掌握机器学习/深度学习等相关知识，至少使用深度学习技术解决过一个实际问题(如：人脸识别、语音识别、车辆识别、场景识别等等)
具有较强的编程能力，能够书写标准的规范文档，有CUDA等并行程序开发经验
在以下领域有深入的研究为佳：


对视频检索或智能视频分析有过丰富研究经历
在CVPR, ECCV, NIPS等计算机视觉顶级会议上发表过论文


We Can Give U

五险一金，绩效奖金
硅谷式开放办公环境，沟通优秀、友好奋进的团队氛围
技术氛围浓厚，直接和大牛交流合作
一年至少2次团建活动，关爱战友，感受彼此最近的距离
私人厨房和厨师，精通各类菜系，吃外面吃不到的美食
人体工程学座椅，关注你的舒适度，关爱你的身心
内有健身区域，配备各种器械，踏步机，哑铃等
内有VR，AR娱乐区域（HTC,Oculus等顶级机型），配备多种付费游戏
每周一次下班后的篮球友谊赛，运动工作两不误
Maybe是沪上颜值最高的互联网团队，净化你的双眸


"
深度学习/图像处理算法工程师,30k-60k,京东商城,"30k-60k,经验3-5年,硕士",电子商务 / 上市公司,"
职位描述：

工作内容/职位描述：
1、负责智慧供应链、智慧定价、智慧促销、智慧选品、商品画像等业务方向的人工智能算法的研发和场景落地；
2、负责深度学习算法研究、实现和优化，包括但不限于在线学习决策、自然语言处理、图像处理与识别等方向；
3、负责产品落地时与开发人员和产品经理的对接，涉及算法优化、平台移植等工作；
4、负责模型训练与效果评估。
任职资格：
1、硕士及以上学历，模式识别、图像处理、计算机视觉、计算机科学、数学、运筹优化等相关专业；
2、熟悉机器学习、深度学习常用算法，熟练掌握CNN、RNN、深度增强学习等至少一种算法原理；
3、具有图像处理、机器学习理论基础；熟悉常见的目标检测算法，有做过基于Adaboost或者CNN的目标检测最佳；至少掌握图像识别技术一种算法，有做过虹膜识别、人脸识别优先考虑；
4、具有良好工程实现和调优能力，熟练掌握C/C++、Python、R、Matlab 等至少一门语言；
5、了解深度学习的进展，熟悉Caffe、Tensorflow、Torch、Theano、MxNet、CNTK等至少一种深度学习框架；
6、思维活跃，能快速学习新知识，对算法研发和优化富有热情，有大规模图像识别与理解系统开发经验者优先考虑；

"
机器学习,40k-80k,360,"40k-80k,经验3-5年,本科","移动互联网,游戏 / 上市公司","
职位描述：

岗位职责：
-大数据量的用户行为数据的处理、清洗和挖掘，并持续迭代优化推荐策略
-从数据中发现现有系统和算法的不足，提出改进的算法并推动实现
-追踪业内前沿技术，结合业务特点，探索将前沿的算法技术应用于实际业务
任职要求：
-精通Java/C++/Python/perl（精通任意一种语言即可），有2年以上数据挖掘的经验
-较好的数据挖掘、个性化推荐或自然语言处理经验，熟悉常用的机器学习算法
-有较多的程序开发经验，对数据结构和算法知识应用熟练；有大数据处理经验者更佳；
-良好的沟通和推动能力，主动性强，对个性化推荐有一定的兴趣

"
深度学习工程师,20k-40k,荔枝,"20k-40k,经验1-3年,硕士",移动互联网 / D轮及以上,"
职位描述：

岗位职责：1、展开与音频相关的机器学习/深度学习等相关领域研究和开发工作；2、利用深度学习在音质、音色等维度上对荔枝fm平台上音频节目进行评价或转换。岗位要求：1、硕士或以上学历，至少完整做过一个机器学习项目；2、在深度学习领域有较深的理论研究和实践经验；3、熟悉至少一种当今主流的深度学习框架，包括tensorflow、caffe等；4、熟悉深度学习的可视化工具（如TensorBoard）者优先；5、思路清晰，主动性强，有很强的自我驱动力

"
深度学习研究员（上海）,10k-20k,平安科技,"10k-20k,经验不限,硕士",金融 / 不需要融资,"
职位描述：

岗位职责： 1.从事前沿人工智能、深度学习技术研发 2.从事大规模深度学习、计算视觉、图像处理、语音识别、声纹识别、语义理解等的算法和系统研发 3.设计并实现基于CUDA的分布式深度学习系统
岗位要求： 1.重点大学硕士及以上学位 ，博士优先，要求本硕博211以上或者海外高校 2.对在以下至少一个领域有深入的研究： （1）统计机器学习（如深度神经网络、Boosting、图模型、概率统计、最优化方法等） （2）计算机视觉（如图像识别理解、人脸检测识别、目标检测和跟踪、OCR、增强现实、图像质量评价、图像分割增强等） （3）语音识别和自然语言理解  3.熟悉和掌握C/C++和脚本语言编程(如Shell, Python, Perl等)  4.熟悉大规模并行计算的基本原理并具有实现并行计算算法的基本能力 5.有深度学习/视觉技术研发/异构计算/语音识别/信号处理等相关实践经验者优先 6.具有良好的沟通能力，和良好的团队合作精神 7.有海外留学经历着优先考虑
应届生,往届生和实习生均可。


"
视频语义理解-深度学习工程师,20k-30k,暴风集团,"20k-30k,经验1-3年,硕士",文化娱乐 / 上市公司,"
职位描述：

岗位职责：
1.负责人脸识别，物品检测，情景识别，视频语义分析等前沿技术的研发及相关产品实现；
2.负责深度学习领域前沿性论文研究与具体方案实现；
3.负责搭建部署系统，构建神经网络以及平台性能调优；

任职资格：
1.教育背景及专业：
硕士及以上学历，计算机视觉，图像处理，机器学习，模式识别等相关专业；
2.相关工作经验描述：
a.熟悉cnn,frcnn,fcn,rnn,dnn，及机器学习基本算法，如分类、回归、聚类、概率模型等，并有实践经验；
b.熟悉图像处理、视频处理与压缩编码解码原理(H.265/H.264/MPEG4/MPEG2等)，有FFmpeg/Mencoder使用经验；
c.有深度学习/视觉技术研发/语音识别等相关项目经验；
d.了解和追踪业界前沿发展方向，在计算机视觉和机器学习等顶级会议发表论文者优先；
3.知识技能掌握程度描述：
a.掌握C++、Python编程，基础算法和推导能力扎实；
b.熟悉Tensorflow、Keras、Torch等深度学习框架；
c.能熟练阅读相关领域英文论文并能快速编程实现；
d.具有主动的沟通意识和团队合作精神，较强的分析和解决问题的能力；

"
智能语音-深度学习研究员,20k-40k,搜狗,"20k-40k,经验3-5年,硕士","移动互联网,数据服务 / C轮","
职位描述：

【项目介绍】
在智能硬件设备中，语音已经成为一种最重要的用户交互方式。智能语音通过将语音识别、语义理解和语音合成技术相整合，让智能设备具有了与用户自然对话，理解用户意图并完成用户需求的能力。搜狗智能语音项目致力于通过不断提升语音和语义方面的技术能力，让用户的交互过程更智能体验更流畅；也致力于不断提升自己连接搜索和垂直行业资源的能力，更好的满足用户的多样化内容消费需求。同时搜狗会着力打造业界最开放技术能力最强服务接入资源最多的智能语音开放平台，把能力最大限度的开放给具有智能交互梦想的合作伙伴，让更多的用户感受到搜狗人工智能的魅力。


【特别提示】搜狗欢迎专情的你，所以提醒你只能选择两个项目，请慎重投递。

【岗位职责】
1、跟进并搭建面向企业级的大规模深度学习训练平台系统；
2、基于深度学习训练平台为语音/图像等应用提供模型支持

任职条件
1. 数学/计算机/模式识别等相关专业，硕士及以上学历；
2. 熟悉常见的深度学习网络模型（FFNN/RNN/CNN等），有一定的实践和优化经验；
3、至少熟练使用一种脚本语言（如python或perl/shell等），有一定的C++开发经验；
4、至少熟悉一种深度开源训练框架（如TensorFlow或Caffe/MXNet等）；
5、有一定的分布式框架系统搭建经验者、有MPI/CUDA/FPGA等经验者更佳；
6、对语音识别领域有过深度模型优化经验者更佳； 
7、具备较强的逻辑思考能力、沟通能力、学习能力、有责任心，抗压性能力强

"
深度学习开发工程师,25k-40k,YY Inc,"25k-40k,经验不限,硕士",移动互联网 / 上市公司,"
职位描述：

岗位职责:     (1) 负责深度学习领域前沿算法的工程实现；     (2) 负责维护和优化音视频相关的深度学习计算平台；     (3) 负责异构平台上的网络模型性能优化。     2. 岗位要求     (1) 计算机、数学、自动化等相关专业，硕士及以上学历；     (2) 具有较强的编程能力，熟练掌握 C/C++、Python，有 Metal、OpenCL 和 CUDA 开发经验者优先；     (3) 具备扎实的机器学习理论基础，熟悉各种深度神经网络模型及其优化技术，有模型压缩和移动端移植经验者优先；     (4) 具备较强的沟通表达能力和团队合作精神，能够做到积极乐观、严谨务实、勇于挑战。    

"
