jobname,money,company_name,p_bot,industry,job_bt
自然语言处理算法工程师,20k-40k,物灵,"20k-40k,经验3-5年,硕士","硬件,移动互联网 / 不需要融资","
职位描述：

岗位职责：
1、负责 NLP/NLU 自然语言处理相关核心技术研发；
2、基于对话上下文的spoken text 的用户意图理解；
3、自动问答、chat bots 等系统核心模块的建模和研发。
 
任职要求：
1、自然语言处理、文本挖掘、机器学习、机器翻译、模式识别等相关专业的硕士及以上学历，在该领域有很好的技术积累；
2、具备良好的 C/C++ 编程能力，熟悉python；
3、有创业激情，良好的抗压能力和团队精神；
4、有参与过自动问答系统或对话系统研发经验者优先。

"
算法工程师-自然语言处理（NLP）,20k-40k,遥望网络,"20k-40k,经验1-3年,硕士","移动互联网,游戏 / 上市公司","
职位描述：

【岗位职责】
1.负责NLP技术在自动问答、人机对话、语义理解等方向上的应用研究； 
2.负责NLP相关核心技术研发及前沿算法跟踪，根据产品需求完成技术转化，推动业务发展。 

【岗位要求 】
1、模式识别/人工智能/数学/计算机相关专业，硕士以上学历；
2、熟悉基于统计和句法/语法分析的自然处理方法，包括分词、词性标注、命名实体识别、依存句法分析、文本分类、文本检索、Deep Learning在NLP领域中的应用等等； 
3、在人工智能领域有一定的积累，能够从复杂的业务场景中进行算法选型、算法优化以及不断提升效果，并且能够真正应用在商业环境，成为商业智能的驱动者；
4、能够使用 C/C++/Python 独立实现复杂的数据结构和算法原型；
5、在自动问答、人机对话、口语理解、知识库管理等领域有实际的开发和从业经验者优先； 
6、学习能力强，能独立分析并解决问题；
7、正直诚信、有责任感、有激情。

"
自然语言处理算法工程师,30k-50k,新浪微博,"30k-50k,经验3-5年,硕士",移动互联网 / 上市公司,"
职位描述：

工作职责:
-负责手机微博大规模互联网和文本数据的分析与挖掘相关工作，包括分类、聚类、关键词提取等
-提高对数据的主题、情感分析的能力
-提升广告、黄反、内容质量、权威性的识别效果
-了解用户需求，改善用户体验
职责要求:
-熟悉自然语言处理、机器学习、模式识别等常用算法，对自然语言方向有浓厚兴趣
-熟悉NLP领域当前热点和前沿技术，对NLP有完整的、系统的认识
-熟悉linux下C/C++或python编程语言，对数据结构和算法设计有较为深刻的理解
-具备优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情
-具备良好的团队合作精神和沟通意识

"
NLP工程师,15k-30k,汤臣倍健,"15k-30k,经验1-3年,本科",医疗健康 / 上市公司,"
职位描述：

职位描述：    
1. 负责自然语言处理（NLP）相关的研发工作，包括文本分类与聚类、中文分词、实体识别、关键词抽取、热点发现及词性分析等；    
2. 参与基于知识图谱技术的知识库系统的设计与研发；    
3. 负责NLP相关算法的研究、改进和应用；    
4. 负责项目中NLP相关的方案制定及开发，基于对话上下文的 spokentext 的用户意图理解，自动问答，chatbots 等系统核心模块的建模和研发    
5. 负责NLP核心算法的API封装。    

岗位要求：    
1. 计算机、数学、统计等相关专业优先，硕士及以上学位优先；至少1年以上自然语言处理（NLP）开发经验；    
2. 熟悉C/C++或Java语言编程，熟悉 python，熟悉一种脚本语言，对数据结构和算法设计有较为深刻的理解；    
3. 优秀的分析问题和解决问题的能力，有创业激情，良好的抗压能力和团队精神，对解决具有挑战性问题充满激情；    
4. 责任心强，具有良好的沟通能力和团队合作精神；    
5. 有参与过自动问答系统或对话系统研发经验者优先。    

"
高级开发工程师（自然语言处理方向）,20k-35k,四达时代集团,"20k-35k,经验3-5年,本科","文化娱乐,硬件 / 上市公司","
职位描述：

岗位描述
1.基于海量字幕和音频信息，构建语料库并训练翻译与听写引擎
2.深入翻译和听写业务，进行数据分析、语义理解和场景化优化
岗位要求 
1.有语音识别或机器翻译系统开发经验者优先
2.扎实的数据结构和算法功底，编码强悍
3.熟悉 Linux 开发环境，掌握Java，熟悉Python
4.有自然语言处理、数据挖掘、机器学习知识背景，有实践经验更佳
5.熟悉有道、科大讯飞等语音听写服务，熟悉LTP等自然语言处理工具
6.本科及以上学历，硕士、博士优先

"
算法工程师/专家-搜索/广告/推荐/NLP方向,20k-40k,爱奇艺,"20k-40k,经验3-5年,本科","广告营销,文化娱乐 / D轮及以上","
职位描述：

岗位职责：
1.       对文字、图片、视频等进行深度内容识别与理解，完成内容的分类、分级以及质量评估，构建娱乐版知识图谱。
2.       负责线上推荐算法的设计与实现，个性化推荐算法模型的设计开发和迭代。
3.       从端到端跟踪算法的实施效果，从多维度分析线上线下数据，不断优化模型并提高推荐效果。
4.       挖掘视频相关特征，优化搜索排序模型；基于用户搜索日志，挖掘用户的搜索意图，提升用户搜索满意度。
5. 追踪推荐、NLP等AI领域的前沿技术，将新技术高效应用于业务分析和智能决策等实际工作中，持续优化技术解决方案。
 
岗位要求：
1.     计算机、数学相关专业本科及以上学历，2年以上AI机器学习、NLP、搜索、广告、推荐算法相关工作经验；
2.     对机器学习算法有较深入的研究和理解，包括LR、SVM、GBDT、DNN、LSTM、RL等；熟悉大数据系统架构和开发框架。
3.     至少精通一门语言, Python/JAVA/Scala，有扎实的代码功底和实战能力。
4. 熟悉常用算法和数据结构，熟悉系统架构和设计模式；
5. 有较强的数据分析和解决问题的能力；组织和沟通能力强，思路清晰，有将复杂问题拆解并实施的能力。

"
自然语言处理工程师,15k-23k,中译语通,"15k-23k,经验1-3年,硕士",移动互联网 / B轮,"
职位描述：

岗位职责

负责自然语言处理中的机器翻译改进工作
负责大规模语料清理的工作
负责日常机器翻译的训练工作

要求：

熟练运用Tensorflow、Theano、Pytorch等机器学习工具。
对深度神经网络非常熟悉，能熟练的根据现有问题进行模型建立。
熟练掌握各类文本处理的方法
熟悉掌握C/C++/JAVA其中一门，熟悉python、perl等任意一门脚本语言。
熟悉Shell脚本和Linux环境下程序开发


"
自然语言处理,20k-40k,主要是IT通讯及互联网行业业务,"20k-40k,经验3-5年,硕士","移动互联网,电子商务 / 不需要融资","
职位描述：

3年以上年自然语言处理、机器学习、数据挖掘相关工作经验；熟练掌握c++、linux后台开发技能；积极主动，勇于接受挑战，富有创新精神。

"
高级自然语言处理算法工程师,25k-50k,深思考人工智能机器人,"25k-50k,经验3-5年,硕士","移动互联网,企业服务 / 天使轮","
职位描述：

岗位职责：
1、设计或运用自然语言处理相关技术与算法，解决系统工程实践问题；
2、NLP算法模型设计、改进与开发实现；
3、使用机器学习算法、深度学习相关技术（词向量、RNN、LSTM、BRNN等）解决相关问题。

任职要求：
1. 硕士及以上学历，计算机专业，自然语言处理方向；
2. 熟悉自然语言处理相关任务（分词、词性标注、命名实体识别、语义消歧，依存句法分析、语义角色标注等）的设计和实现；
3. 熟悉常见机器学习算法：分类、聚类、决策树、贝叶斯、SVM、HMM、最大熵等；
4. 熟悉深度学习相关技术：word2Vector、句向量、CNN、RNN、LSTM、BRNN、Attention模型，熟练使用Tensorflow者优先；
5. 熟悉本体知识库的构建，熟悉本体构建工具（如protege）的使用优先；
6. 熟练使用C++、Python、JAVA至少一种语言，JAVA优先。
7.有两年以上NLP相关工作经验。

"
NLP算法工程师,20k-40k,滴滴出行,"20k-40k,经验3-5年,本科",移动互联网 / 不需要融资,"
职位描述：

岗位职责：
1. 包括但不仅限于智能应答模块与用户行为预测模块 ，服务公司数亿计的司机及乘客为其提供良好的人工智能体验；
2. 利用机器学习/深度学习/NLP技术完成并优化文本分类, 热点问题分析功能，为公司的战略决策提供数据支持；    
3. 负责智能化平台语料获取, 包括互联网/日志等, 并进行相应分析分类/聚类，挖掘数据潜在的价值。
任职资格：
1. 了解行业内智能客服、并对智能客服保持热情，能够持续投入专研；
2. 计算机相关专业硕士及以上学历；
3. 三年以上工作经验，优秀者可放宽，至少从事过一年以上数据挖掘以及个性化推荐相关工作；
4. 熟悉NLP中的相关技术包括但不限于中文依存句法分析以及指代消解等技术；
5. 良好的逻辑思维能力，可以快速定位并解决问题，具有良好的代码编写习惯；
6. 编程语言不做限制，会python者优先。

"
