jobname,money,company_name,p_bot,industry,job_bt
机器学习,30k-50k,Udesk－企业级智能客服平台,"30k-50k,经验3-5年,本科",其他 / B轮,"
职位描述：

职位描述：
+ 企业服务领域智能化场景的业务分析、数据建模和数据优化。


任职要求：
+ 3年以上相关工作经验，有落地的产品；
+ 优秀的业务理解、目标制定、沟通能力；
+ 精通机器学习算法，丰富的数据分析、挖掘、建模经验，有NLP经验更佳；
+ 有TensorFlow/Theano/Keras/Caffe/Torch等深度学习工具经验；
+ 良好的开发能力（SQL/Java/Python/R/Scala等），了解大数据开发平台（Hadoop/Hive/Spark/Storm)。

职位亮点：
Udesk是国内领先的企业级智能客服平台，拥有数千家企业用户，为企业提供了一套集智能问答、即时通讯、VoIP、工单、知识库、数据分析为一体的完整的客服系统解决方案。
Udesk知名客户有海底捞、星巴克、凯撒旅游、中青旅耀悦、金山WPS、每日优鲜、58转转、宝洁等。覆盖了餐饮、本地生活、旅游、O2O、企业服务等行业。
Udesk去年6月完成B轮1亿人民币融资，投资方为君联资本、DCM。公司收入增长迅速，有大量的付费用户并开始盈利。
Udesk前端用Ember.js，后台用Java、Ruby、Go。日接口调用量超过200,000,000次。

"
机器学习,40k-80k,360,"40k-80k,经验3-5年,本科","移动互联网,游戏 / 上市公司","
职位描述：

岗位职责：
-大数据量的用户行为数据的处理、清洗和挖掘，并持续迭代优化推荐策略
-从数据中发现现有系统和算法的不足，提出改进的算法并推动实现
-追踪业内前沿技术，结合业务特点，探索将前沿的算法技术应用于实际业务
任职要求：
-精通Java/C++/Python/perl（精通任意一种语言即可），有2年以上数据挖掘的经验
-较好的数据挖掘、个性化推荐或自然语言处理经验，熟悉常用的机器学习算法
-有较多的程序开发经验，对数据结构和算法知识应用熟练；有大数据处理经验者更佳；
-良好的沟通和推动能力，主动性强，对个性化推荐有一定的兴趣

"
机器学习研究员,25k-50k,英语流利说,"25k-50k,经验不限,硕士","移动互联网,教育 / C轮","
职位描述：

工作职责：
研究机器学习领域的前沿算法，应用于语言学习的各个领域，包括教学、评测、学习效率提升等；
职位要求：
基础扎实，有扎实的算法基础；
对新技术敏感，喜欢探索，有较强的创新意识与责任感；
使用过 TensorFlow, Caffe, Torch, MXNet 等深度学习框架；
有较强的工程能力，精通 C、C++、Java、Python 等某一种编程语言，有生产环境下智能系统开发或大规模数据处理经验者优先。

英语流利说是一家全球领先的AI驱动的教育科技公司，由中央“千人计划”专家、普斯林顿大学计算机博士、Google前产品经理王翌和胡哲人、林晖在2012年9月共同创立。英语流利说拥有一支业内领先的人工智能科学家团队，致力于用AI技术和大数据提升学习效率，实现教育的个性化和公平性。

经过四年多的积累，移动端同名APP“英语流利说”的注册用户数已超过4500万人，在语言教育行业高居第一，被苹果公司评为“年度精选App”和“App Store精华”。“英语流利说”拥有全球最大的中国人英语语音数据库，领先的英语口语评测引擎，以及中国最活跃的语言学习社区。2016年7月，推出历时两年斥巨资打造的世界领先的人工智能老师——“懂你英语”，为每个用户提供个性化的学习内容和计划，把英语学习的效率提高了3倍，被业界称为是一次语言学习的革命。

目前，英语流利说已完成C轮投资，前几轮投资方分别为IDG、GGV、挚信资本等知名VC。


我们的福利：
13薪加年终奖，此外还提供国内外学习和交流机会；
中外帅哥美女，弹性工作时间，全员 Mac 办公与人体工学椅，全方位激发你的创造力；
美味营养的私厨三餐，水果零食饮料不限量供应，胃好你才好！
免费上班健身与年度体检；
优秀员工出境游，丰富多彩的团队建设，我们的口号是”Work hard, play harder!”

"
机器学习,20k-40k,数美,"20k-40k,经验1-3年,本科","企业服务,数据服务 / B轮","
职位描述：

360、小米、百度等顶级互联网公司联合投资，顶级大数据公司

 岗位职责：
1、基于数美海量数据进行数据建模与分析
2、对海量数据进行feature selection, combination等feature engineering工作 
3、针对海量用户行为数据，构建用户兴趣属性，金融属性画像，欺诈属性等多维度画像 
4、基于海量画像数据，构建金融风控，互联网反作弊，精准营销，垃圾内容等模型和服务

职位要求：
1、硕士及以上学历，机器学习或统计学习建模领域拥有实际工作经验；
2、良好的逻辑思维能力，能够从海量数据中发现有价值的规律，熟悉大规模数据挖掘、机器学习等基本算法；
3、编程基础扎实，熟悉算法数据结构，有超过2年以上C++或Python开发经验  
4、有金融模型、广告算法、推荐算法等相关领域研究或实践经验者优先；
5、 踏实勤奋，自我驱动  
 

公司福利待遇
有竞争力的薪酬
期权奖励
五险一金+商业保险
午餐+晚餐补助
交通+通讯+电脑补贴
结婚+生育+丧葬+住院礼金
伯乐奖金
年假8天起+带薪病假
年度体检、零食畅享、团队建设、生日会、弹性办公


数美领先的大数据技术、产品与服务提供商
我们正在经历一个IT到DT的变革时代。大数据已经渗透到各个环节，各个角落。
这个世界，就是掩藏在表象之下，被数据所揭示的世界！
数美依托积累的海量数据、科技前沿技术， 极致的工匠精神和对数据的深度理解，提供领先的大数据产品与服务。 
我们正在寻找不平凡的你，和我们一起“发现数据之美”
欢迎投递简历

【关于数美】www.ishumei.com
      数美由百度、小米、360等顶尖互联网公司联合投资的大数据公司，致力于利用人工智能技术和海量数据解决金融、互联网等领域广泛存在的欺诈问题，先后推出了信贷反欺诈、内容反欺诈、行为反欺诈等系列产品，      
     目前已服务数百家客户，覆盖直播、金融、支付、社交、电商、游戏、O2O等行业。其中包括中信银行、360、小米、58同城、爱奇艺、酷狗、用钱宝、点融、挖财、闪银、熊猫TV、花椒、唱吧等知名企业，并与腾讯云、金山云、七牛云等云服务提供商展开深度合作。
    数美的创始人唐会军在搜索、安全、语音识别等大数据领域拥有十余年研发经验，曾历任百度系统技术负责人、360高级技术总监等职位。创始团队均来自百度、360、小米、宜信、FICO等知名互联网公司，数美核心团队是国内最早一批从事大数据平台与应用研发的团队，曾负责过的大数据平台规模居全球前十。国际顶尖反欺诈技术，拥有十余项专利，同时在安全，反作弊、推荐，广告，语音识别等领域有着丰富的大数据成功应用经验。
           www.ishumei.com

"
机器学习工程师,20k-30k,信用飞/首付游,"20k-30k,经验1-3年,本科",移动互联网 / B轮,"
职位描述：

具体职责： 
1、负责机器学习、特征提取领域的技术和算法研发工作，包括但不限于强化学习、迁移学习、主动学习、维度降低、降噪算法、特征提取、推荐、随机优化等的算法和系统研发等； 
2、负责机器学习、降噪算法落地和算法优化，并落地应用于支付，账务，汇兑，清算，核算，金融网络，资产负债管理，金融风险分析等系统平台实践中； 
3、研究分析业内智能算法平台产品。优化技术方案，改进产品功能； 将能力高效应用于技术风险分析、业务分析和智能决策等业务产品中。

任职要求：
1、在机器学习或数据挖掘方向有较强的积累，熟悉经典的算法并有实践经验，包括LR、SVM、GBDT、DNN、LSTM等；对算法优化有一定经验，有效提升准确率； 
2、精通至少一门语言，Java/C++/Python/Matlab/R等，具有扎实的代码功底和实战能力； 
3、对数据敏感，分析数据、抽象问题、理解并解决问题，对使用机器学习解决金融系统问题有热情； 
4、较强的沟通能力和团队协作能力，善于学习新知识、乐于接触新场景、关注前沿新技术。 

加分项： 
1、熟悉主流大数据处理技术(hadoop/spark等)优先； 
2、具有大规模分布式架构设计经验者优先； 
3、具备降噪算法、特征提取方面经验和推荐系统经验者优先； 
4、熟悉金融行业项目者优先。

"
蚂蚁金服-微贷网商银行应用数据算法工程师／机器学习,20k-40k,蚂蚁金服集团,"20k-40k,经验不限,本科","金融,移动互联网 / B轮","
职位描述：

无论你是数据研发／机器学习等相关知识的毕业生，数据研发工程师，数据科学家，ML攻城狮，还是你已经成功转行到这个队伍中来，喜欢并且勇于挑战实际的应用，-- 只要你对数据和AI抱有极大的热情，对数据和AI在金融领域的应用抱有信心，我们都欢迎你独到的见解！我们蚂蚁金服－金融核心数据算法团队，专注于研究在金融大数据驱动下的金融数据架构，机器学习算法研究与应用，用数据，AI和金融核心技术驱动蚂蚁金服的支付，财富，国际，微贷，网商，保险，信用等各业务高速与创新发展。 职位描述：1、理解金融产品需求，能够运用数据挖掘，机器学习等方法解决实际问题，主动为团队贡献想法；2、结合具体微贷，网商银行业务场景，灵活运用数据分析核心技术（如分布式处理，推荐系统等），分析多方行为，优化模型与策略，提升产品体验；3、研究金融方面相关信息整合与联结核心技术与算法，将海量金融数据下的可信信息产品化、应用化。职位要求：1、具有计算机科学、统计学、数学、商业智能相关学历及专业背景，掌握扎实的统计学，数据挖掘/分析/建模，机器学习，商业智能等理论，三年以上研发工作经验；2、在机器学习或数据挖掘方向有较强的积累，对数据敏感，对使用机器学习解决金融系统问题有热情，熟悉商业智能或者推荐系统（如协同过滤、矩阵分解等）算法模型；3、研究分析业内智能算法平台产品以及优化技术方案，以改进产品功能和性能；4、逻辑清晰、表达能力强，有良好的团队合作精神和主动沟通意识。有以下经验者优先考虑:1、曾参与推荐系统、广告投放系统或大数据分布式系统等相关项目的构建、开发与落地；2、分布式系统、深度学习、量化金融等项目开发经验。3、曾参与微贷及网商银行等业务项目；

"
机器学习工程师,28k-56k,航仕科技,"28k-56k,经验3-5年,本科","移动互联网,O2O / C轮","
职位描述：

岗位职责：
至少涉及以下一种职责，包括大规模机器学习、计算机视觉、图像处理，语义理解等的算法和系统研发
任职资格：在以下至少一个领域有深入的研究：
（1）统计机器学习（如深度神经网络、Boosting、图模型、概率统计、最优化方法等）；
（2）计算机视觉（如图像识别理解、人脸检测识别、目标检测和跟踪、OCR、增强现实、图像质量评价、图像分割增强等）；
（3）语义理解检索 (如知识图谱表示、结构化预测、语义解析、信息检索、知识挖掘等）；
熟悉和掌握JAVA或C/C++和脚本语言编程（如Shell, Python, Perl等）；
熟悉大规模并行计算的基本原理并具有实现并行计算算法的基本能力；
有机器学习/视觉技术研发/信息检索等相关实践经验者优先。

*leader全部来自于BAT类型的公司，年底不少于16个月，同等技术水平薪酬待遇广东省排名前3.

*我们对学历有硬性要求，除非有知名互联网公司背景，不然最少本科，好学历有加分！

*除了互联网公司，我们也欢迎华为，三星，小米等有底层经验的人选。

"
机器学习,25k-45k,好大夫在线,"25k-45k,经验不限,本科",医疗健康 / D轮及以上,"
职位描述：

工作职责：1. 用机器学习、文本挖掘等技术，对结构化和非结构化数据进行挖掘，发现其潜在关系，指导医疗大数据应用落地；2. 构建通用的分布式环境下机器学习系统，快速支持算法应用；3. 参与文本意图分析，包括文本分类和聚类，拼写纠错，实体识别与消歧，中心词提取，短文本理解等；4. 探索医疗AI领域。工作要求：1. 计算机/通信等相关专业，硕士及以上学历，有较好的理论基础和快速的学习能力；2. 熟练掌握TensorFlow，pyTorch，Caffe，HTS等社区开源工具中的一种及以上；3. 对常用的机器学习/深度学习算法有深入理解，例如：LR/GMM/SVM/CRF/MaxEnt/HMM/NN 等；4. 熟悉 linux 开发环境，掌握至少一门编程语言，如 C++、Python等；5. 有NLP或图像领域的工作或研究经验，搭建过实际线上系统者优先；6. 表达能力强，乐观向上，自我驱动力强，具备敏锐的洞察力和良好的抗压能力。

"
机器学习工程师,25k-32k,向上金服,"25k-32k,经验3-5年,大专","移动互联网,金融 / 不需要融资","
职位描述：

职位描述：
1.负责机器学习算法平台的研发：模型的设计，训练，调优等
2.机器学习数据处理及分析
3.负责深度学习模型工程化研发。
 
职位要求：
1.2年以上机器学习相关工作经验
2.能够详细描述 CNN、RNN, LSTM, GRU, Attention模型的算法
3.擅长常用机器学习框架之一，如Tensorflow, Theano, Torch等
4.擅长科学计算编程语言之一，如Java，Python，R，C++等
5.熟悉GBDT、LR、SVM 等机器学习相关算法
6.有海量数据处理经验，熟悉Hadoop、Spark等大数据生态技术
能在Linux环境下开发

"
机器学习工程师,25k-50k,无秘,"25k-50k,经验3-5年,本科","移动互联网,金融 / B轮","
职位描述：

岗位描述: 
1.负责模型的优化和上线，监控模型关键指标，发现和优化模型存在问题。
2.程序性能优化，提升CPU/GPU利用率，以及深度学习分布式计算的框架搭建优化工作。
岗位要求:
1.熟练掌握深度学习各项技能，CNN，LSTM，Attention等
2.熟悉各种深度学习框架，keras, pytorch, tensorflow,有实际应用的优先
3.熟悉聚类、分类、回归、图模型等机器学习算法；
4.熟悉自然语言处理，文本挖掘，topic model等，对其中某方面核心算法理解透彻，有实际建模经验者或者并行化经验者优先；
5.熟悉python、Java等编程语言

"
