jobname,money,company_name,p_bot,industry,job_bt
机器学习/数据挖掘工程师（上海）,20k-35k,百度,"20k-35k,经验1-3年,本科","移动互联网,数据服务 / 不需要融资","
职位描述：

【工作职责】
-负责百度凤巢的算法改进  
-基于大规模用户行为，以效果为目标，建立并优化推荐系统的基础算法和策略 
-应用机器学习等尖端技术，针对海量信息建模，挖掘潜在商业价值 
 -负责在线广告投放系统的核心技术创新与优化 
-提高在线广告的相关度、用户体验、投放效果及变现能力
【任职资格】
-计算机或相关专业硕士以上学历 
-良好的逻辑思维能力，和数据敏感度，能能够从海量数据中发现有价值的规律 
-优秀的分析和解决问题的能力，对挑战性问题充满激情 
-良好的团队合作精神，较强的沟通能力 
-良好的技术领导能力，有能力开辟一个技术方向，带动和引导一个技术方向的规划、研发 
-熟悉C/C++语言编程，对数据结构和算法设计有较为深刻的理解 
【具备以下能力之一】
-熟悉大规模数据挖掘、机器学习、分布式计算等相关技术，并具备多年的实际工作经验  
-具备大规模推荐系统的研发经验(推荐算法设计和实现/推荐系统评估方法研究)  
-具备自然语言处理、信息过滤、主题提取、分类聚类、个性化用户建模、文本挖掘等相关领域知识  
-具备机器学习理论、算法的研究和实践经验 
-具备分布式相关项目研发经验（如分布式存储/分布式计算/高性能并行计算/分布式cache等） 
-具备搜索引擎、广告投放、反作弊相关技术的知识和经验

"
机器学习（算法工程师),20k-40k,美团点评,"20k-40k,经验3-5年,本科","移动互联网,O2O / D轮及以上","
职位描述：

工作职责：
1、使用机器学习算法解决常见的业务问题，使用的算法包括常用的图像处理、自然语言处理算法、机器学习推荐算法等；
2、挖掘各种来源的非结构化数据
3、对数据进行建模，分析影响系统的关键因素，规划、设计和实现新的解决方案，评估并优化模型；
 
任职要求：
1、计算机、数学或相关专业本科以上学历；
2、一年以上机器学习项目经验，有深度学习项目经验优先，善于将业务问题抽象为机器学习问题；
3、熟悉常用的分类聚类算法，清楚了解算法原理并能做一定的改进；
4、了解深度学习模型如CNN、RNN、GAN等；
5、熟悉常用参数调整策略；
6、熟练掌握Java/Python一种或多种；
7、熟悉常用的深度学习计算框架scikit-learn、对tensorflow熟悉者优先。
8、熟悉大数据开发者优先

"
机器学习算法工程师,20k-40k,闪送,"20k-40k,经验3-5年,本科",移动互联网 / C轮,"
职位描述：

岗位职责：
1、负责机器学习平台的选型、搭建；
2、负责数据的策略建模、模型训练；
3、负责策略的最优理论研究、落地；
4、负责实现训练程序自动化训练脚本及流程、效率优化；
5、负责并行训练平台的操作和维护。
任职资格：
1、熟悉机器学习算法，深度学习算法，熟悉tensorflow等框架，具有较强的数据结构和算法的能力，并能有效的应用于实际的问题；
2、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情；
3、具有良好的沟通能力，和良好的团队合作精神，做事踏实稳重有条理。

"
机器学习工程师,5k-10k,比量科技珠海公司,"5k-10k,经验不限,大专","移动互联网,其他 / 未融资","
职位描述：

岗位要求：
1. 计算机，应用数学专业大专以上学历。
2. 1年以上机器学习的项目经历。
3. 对机器学习的统计学意义有深入理解，能熟练使用模式识别等常用模型。
4. 熟练使用机器学习常用编程语言及框架，
如：Python等。
5. 熟悉统计分析常用工具，如R或者SPSS。
6.有NLP经验优先
工作地址：珠海香洲区

"
计算机视觉/机器学习工程师--大数据&滴滴研究院(J13266),25k-50k,滴滴出行,"25k-50k,经验3-5年,硕士",移动互联网 / 不需要融资,"
职位描述：

工作职责：
1.开发让汽车耳聪目明的计算机视觉算法和产品。 

任职资格：
1.扎实的图像分析和模式识别理论基础，精通目标检测、跟踪、识别等常见的计算机视觉处理任务； 
2.悉深度学习原理和基本模型，熟练使用Caffe，Theano或其他常用深度学习工具，并能够灵活的解决实际问题； 
3.扎实的数学基础，精通常见的几何、统计学等，并熟悉这些技术在图像识别领域中的应用； 
4.很强的工程能力，精通C++语言以及至少另一种常见编程语言； 
5.悉高性能运算加速工具如Neon以及GPGPU技术如GLES，CUDA和OpenCL等。
        
"
机器学习工程师,30k-50k,一满乐,"30k-50k,经验3-5年,硕士",移动互联网 / A轮,"
职位描述：

About Maxfun：
 
一满乐通过合适的算法对客户的数据进行建模分析，向客户提供极高的商业决策支持，将冰冷的数据转化为商业价值，帮助企业解决问题、提高运转效率、降低成本。
 
我们的团队技术过硬，活泼年轻（85-90后），工作氛围开放，市场前景广阔。
职位诱惑：硅谷团队，一线创投，前沿科技

岗位职责：
1、面对实际业务场景的问题，选择适当的机器学习算法进行建模和优化；
2、关注机器学习以及深度学习相关最新动态并转化到实际应用场景。
 
任职要求：
1、硕士及以上学历，数学、计算机、运筹学、统计学相关专业；
2、有3年以上推荐算法/机器学习相关项目经验，对机器学习有扎实的基本功，深入了解常用算法原理和应用场景，并能够用之解决问题；
3、能结合业务场景，熟练运用逻辑回归、分类、聚类、神经网络等机器学习算法解决实际问题，有深度学习、增强学习项目经验者优先；
4、能够熟练使用Python及常用的算法库，如sklearn、keras、tensorflow等；
5、有大数据处理经验者优先，如hadoop、spark、sparkMllib等；
6、有金融或者零售行业成功项目背景者优先。


欢迎您的到来！

"
人工智能算法工程师（机器学习）,10k-20k,唯品会,"10k-20k,经验1-3年,本科",电子商务 / 上市公司,"
职位描述：

岗位职责： 
负责人工智能算法的上线,并以实际业务应用为导向研发创新方法,产生创新应用。

任职要求:
1. 本科以上学历(模式识别、人工智能、计算机相关专业),扎实的机器学习、数据挖掘、统计学理论基础；
2. 熟悉机器学习基本算法,并有调优经验的优先；
3. 熟悉Map-Reduce模型,对Hadoop、Spark、Storm等大规模数据平台上的机器学习开发有实践经验；
4. 具有扎实的计算机操作系统、数据结构等编程基础,精通至少一门编程语言例如 JAVA/Python/Scala等,编程能力扎实；
5. 一年以上大规模机器学习相关工作经验。

"
机器学习算法研发工程师,25k-50k,新浪微博,"25k-50k,经验不限,本科",移动互联网 / 上市公司,"
职位描述：


1. 基于海量的微博内容的分析与挖掘
2. 基于海量用户行为识别过滤算法的设计与实现
任职要求：
1. 计算机或相关专业本科以上学历，两年以上算法研发相关经验
2. 能够使用Hadoop/Hive/storm/spark等平台进行数据挖掘和分析，掌握常用机器学习算法
3. 具备Unix/Linux环境开发经验，熟悉Java/Php/Python/Shell开发，并至少掌握其中一种
4. 有SNS反垃圾、反作弊经验者优先
5. 有较强的学习能力、沟通能力及分析和解决问题的能力，具备良好的团队合作精神
6. 有文本分类算法经验者优先
7. 有深度学习经验者优先

PS：机器学习研发团队，待招聘岗位，级别：高级/资深/专家：
计算机视觉，图像处理，人脸识别
自然语言处理，文本挖掘
推荐算法工程师
信息流排序工算法工程师

"
机器学习算法工程师,15k-30k,多点Dmall,"15k-30k,经验3-5年,本科","电子商务,O2O / B轮","
职位描述：

岗位职责
1、负责画像、个性化推荐、营销等数据产品的整体评估、设计与模块研发；
2、负责研究与分析公司的交易数据、行为数据、以及相关行业数据，探索新的数据应用价值。
岗位要求
1、 熟悉数据挖掘常用算法，包括线性回归、逻辑回归、随机森林、支持向量机等，了解传统机器学习和深度学习最新技术趋势，并能根据实际业务问题选择合适的模型和算法进行开发;
2、 熟悉Hadoop生态，对基于Hive，Spark的分布式应用有实际开发经验；
3、 熟悉scala、python、java、C++等开发语言中的至少2种；
4、 很强的数据敏感度，以及相应的从数据当中学习、分析和解决问题能力；
5、 较强的内外沟通能力，能与各业务条线的同事高效地沟通；
6、 不限工作年限，欢迎有能力的应届硕士同学投递。

"
机器学习研究员,20k-40k,全视云安,"20k-40k,经验3-5年,本科","电子商务,数据服务 / 天使轮","
职位描述：

负责构建通用机器学习平台；持续提升安全模型分析效率和质量。
岗位要求：
1. 两年以上机器学习工作经验；
2. 熟悉Java或Python；
3. 对数据结构和算法设计有较为深刻的理解；
4. 熟悉常见的机器学习&数据挖掘算法，有相关研究或项目经验；
5. 优秀的分析问题和解决问题能力，对解决挑战性的问题充满激情；
6. 具备大规模数据分析和计算机安全等相关经验者优先；
7.985、211院校优先

"
