jobname,money,company_name,p_bot,industry,job_bt
NLP中级工程师,8k-12k,ZingFront智线,"8k-12k,经验1-3年,本科","移动互联网,数据服务 / A轮","
职位描述：

工作内容：
1、高性能服务、海量数据处理
2、数据抓取、特征挖掘、模型计算
3、检索&策略优化的分析、设计和开发
 
能力要求：
1、熟悉各类数据挖掘/机器学习相关的算法，逻辑思维清晰，对数据敏感
2、熟悉C/C++/Python语言及Shell编程，并开发过不太小的项目；熟悉Linux平台及Hadoop系工具的使用
3、有大规模、高性能互联网网站系统相关的设计和开发经验者优先
4、具备良好的学习能力和成长潜力，渴望和团队一起快速成长

"
自然语言处理研发工程师,20k-40k,触宝,"20k-40k,经验3-5年,本科","移动互联网,数据服务 / D轮及以上","
职位描述：



设计并实现客户端和服务器端的输入法预测引擎
和NLP科学家一起将deep learning技术落地到产品端
使用用户体验数据挖掘引擎相关的数据，并使用数据来提升输入法引擎的用户体验
提供多语言，多地区的输入法引擎功能
在线模型与离线模型的融合算法研究与实现
滑行输入法的研究与改进

 
基本要求：

计算机或相关专业的学士学位
至少两年C/C++编程经验
具有复杂数据结构和算法的设计、实现能力，至少具备一次相关项目经验
具备自然语言处理，机器学习，文本挖掘，推荐系统的相关知识，深刻理解相关基础算法
具有一定的数据分析，建模的能力，至少具备一次应用数据解决问题的经验
熟练使用Linux
熟练使用Python和Shell
流利掌握中文或英文
很强的自我驱动力、结果导向并极具责任感
有激情、毅力，正能量
有良好沟通能力和团队协作精神

 
锦上添花的需求：

精通自然语言处理，机器学习，文本挖掘，推荐系统中的一项或多项
具有设计，实现输入法引擎的经验
对语言模型有深入的理解
掌握深度学习相关技术
具有语料处理的相关经验


"
NLP算法工程师,25k-45k,一起作业网,"25k-45k,经验1-3年,本科","移动互联网,教育 / D轮及以上","
职位描述：

一、工作职责：
1、负责题库的内容信息抽取，信息检索，内容质量检查等NLP相关项目。
 二、岗位要求：
1、本科以上学历，一年以上NLP开发经验；
2、算法数据结构基础扎实，熟练掌握各种NLP算法；
3、掌握常用机器学习算法，理解常用模型；
4、有搜索引擎，推荐引擎相关项目者优先；
5、Python、C++、Java均可。

"
自然语言处理专家-杭州-00145,20k-25k,同盾科技,"20k-25k,经验3-5年,本科","信息安全,数据服务 / C轮","
职位描述：

岗位职责1. 熟练掌握各种主流机器学习算法的基础上，寻找并构建有效的内容（文本、聊天等）安全的解决方案并可以落地且产生业务价值；2. 整理和分析海量数据，合理的文本及语义的抽取特征，结合实际需求实现文本挖掘算法，在线调优，来实现风险的预测和预警；3. 应用机器学习、自然语言分析及数据挖掘技术，对用户注册信息、语言文本记录分析，实现论坛、直播等网站不合规内容的智能过滤和拦截；4. 制定有效项目进度管理机制，按照项目计划，推进项目研发工作；任职要求1. 有在自然语言处理领域应用深度学习技术的实践。 2. 具有丰富的建模经验，能独立解决问题 3. 具有3年以上在知名公司文本反垃圾经验优先考虑 4.良好的团队意识，具备一定的领导能力

"
NLP工程师,20k-40k,新浪网,"20k-40k,经验不限,本科",文化娱乐 / 上市公司,"
职位描述：

工作职责：
1. 应用前沿NLP技术，进行新浪/微博的内容语义分析，涉及文本分类、主题识别、实体识别、概念提取、内容生成等。
2. 基于新浪/微博的用户行为数据，建立精准用户画像和推荐模型，并应用于商业变现。
 
职位要求：
1. 熟练掌握以下至少一门编程语言：Java/Scala/Python，熟悉Linux开发环境。
2. 良好的算法基础和编程功底。
3. 熟练掌握NLP技术如分词、实体识别、语言模型、主题提取等，熟悉机器学习/数据挖掘常用技术。
4. 熟练掌握大数据处理技术，包括但不限于Hadoop/Hive/Storm/Spark/Kafka/Hbase等，有较强的数据ETL能力。
5. 对技术与研究有热情，愿意挑战新的算法和新的领域，对前沿研究领域保持敏感

"
自然语言处理工程师,20k-40k,源杉FIR.ai,"20k-40k,经验3-5年,硕士","数据服务,金融 / 天使轮","
职位描述：

-至少2年以上的机器学习或自然语言处理相关工作经验，熟悉基本的NLP库，能自如使用正则，有贡献相关开源项目经验者尤佳；
-熟练使用Python语言，熟悉各种Python工具；
-熟练掌握一种以上的语言：C/C++, Java, Golang, Scala；
-负责文本信息中的知识提取以及结果优化，对知识图谱有深入了解优先考虑；
-在首席科学家帮助下，探索利用最前沿的NLP技术解决问题；
-有极强的数据分析和处理能力;
-参与公司项目的原型开发；
-有自主学习能力，良好的中美团队沟通能力；
-本科及以上学历，计算机及相关专业优先；
-有创业激情和抗压能力。

"
自然语言处理,25K-50K,京东商城,"25K-50K,经验3-5年,硕士",电子商务 / D轮及以上,"
职位描述：

三个方向，语义理解,上下文，文本挖掘
职位要求：
1. 具有3年以上自然语言分析相关工作经验，包括语法分析、文本处理等，研究生及以上学历；
2. 熟练掌握自然语言处理领域的基础理论和方法；
3. 熟练掌握一门以上计算机语言（c++、java优先）；
4. 有智能对话、机器学习/深度学习经验优先。

"
自然语言处理工程师,15k-30k,海知智能,"15k-30k,经验1-3年,本科","移动互联网,数据服务 / A轮","
职位描述：

职位描述：
1、应用自然语言处理技术实现实体识别、意图识别、情感分析等对话系统中的相关工作
2、应用文本挖掘技术实现文本聚类分类，知识提取、知识图谱构建等研发工作

岗位要求： 
1、计算机、统计学相关专业本科以上学历，1年以上相关的实习或工作经验；
2、熟悉自然语言处理、文本挖掘的关键技术，有中文NLP经验者优先；
3、了解自然语言处理的基本算法与概念，如：分词，词性标注等；
4、熟练使用以下编程语言中的至少一种：Java, C++；
5、熟练使用以下脚本语言中的至少一种：Python, Perl, R等；
6、良好的编程能力、算法设计能力，具备大规模语料数据处理经验者优先；
7、有较强的分析问题解决问题能力， 良好的沟通能力和团队协作精神；
8、有开源项目经验优先；

"
自然语言处理研发工程师-滴滴研究院(J000800),20k-40k,滴滴出行,"20k-40k,经验不限,不限",移动互联网 / 不需要融资,"
职位描述：

岗位职责1. 从事人工智能、自然语言处理、语义理解等算法研究和系统研发。岗位要求：1. 本科及以上学位； 2. 熟悉机器学习相关算法；3. 熟悉常见自然语言处理算法，对于语义理解有经验者优先；4. 熟悉和掌握C/C＋＋ 和脚本语言编程(如Shell, Python, Perl, Lua等) ； 5. 具有良好的沟通能力，和良好的团队合作精神。

"
自然语言处理工程师,15k-30k,网龙网络有限公司,"15k-30k,经验1-3年,硕士","移动互联网,教育 / 上市公司","
职位描述：

1、研究自然语言处理领域的前沿技术；
2、从系统应用的角度,利用自然语言处理的理论和方法解决实际问题。
 
任职要求：
1、自然语言处理，模式识别，机器学习以及相关专业硕士以上学历；
2、熟练掌握主要的自然语言处理算法；
3、熟练掌握主要的模式识别和机器学习算法；
4、良好的C／C++, Java, python, Linux SHELL等编程能力；
5、良好的沟通能力和组织协调能力。
6、有搭建英语作文自动批改系统和问答系统经验的优先考虑。


"
