,date,day_of_week,brand,cnt
1,1,3,5,48
8,3,5,5,1565
13,4,6,5,1107
18,5,7,5,647
23,6,1,5,638
28,7,2,5,695
33,8,3,5,673
38,9,4,5,585
43,10,5,5,741
47,11,6,5,129
52,12,1,5,721
57,13,2,5,669
62,14,3,5,456
67,15,4,5,1680
72,16,5,5,680
76,17,6,5,26
77,18,7,5,22
82,19,1,5,1071
87,20,2,5,618
92,21,3,5,865
97,22,4,5,491
102,23,5,5,329
107,24,6,5,51
112,25,1,5,968
117,26,2,5,618
122,27,3,5,601
127,28,4,5,604
132,29,5,5,515
136,30,6,5,51
142,32,1,5,1071
147,33,2,5,978
152,34,3,5,1129
157,35,4,5,717
162,36,5,5,185
163,37,4,5,19
169,39,6,5,746
174,40,7,5,602
179,41,1,5,432
184,42,2,5,309
189,43,3,5,408
194,44,4,5,434
199,45,5,5,268
203,46,6,5,26
208,47,1,5,227
213,48,2,5,232
218,49,3,5,312
223,50,4,5,321
228,51,5,5,453
235,53,1,5,227
240,54,2,5,463
245,55,3,5,336
250,56,4,5,415
255,57,5,5,412
259,58,6,5,51
261,59,7,5,22
266,60,1,5,371
271,61,2,5,489
276,62,3,5,384
281,63,4,5,283
286,64,5,5,329
289,65,6,5,26
294,66,1,5,391
299,67,2,5,335
304,68,3,5,240
309,69,4,5,359
314,70,5,5,371
319,71,6,5,51
324,72,1,5,474
329,73,2,5,283
334,74,3,5,336
339,75,4,5,321
344,76,5,5,453
348,77,6,5,26
349,78,7,5,22
354,79,1,5,144
359,80,2,5,592
364,81,3,5,577
369,83,5,5,21
375,85,7,5,491
380,86,1,5,309
385,87,2,5,798
390,88,3,5,529
395,89,4,5,321
400,90,5,5,432
404,91,6,5,26
409,92,1,5,577
414,93,2,5,463
419,94,3,5,577
424,95,4,5,340
429,96,5,5,432
435,98,7,5,22
440,99,1,5,597
445,100,2,5,360
450,101,3,5,360
455,102,4,5,283
460,103,5,5,556
465,104,6,5,360
470,105,7,5,781
477,107,4,5,755
482,108,5,5,288
485,109,6,5,26
490,110,1,5,597
495,111,2,5,669
500,112,3,5,769
505,113,4,5,264
510,114,5,5,556
513,115,6,5,51
519,117,1,5,618
524,118,2,5,541
529,119,3,5,529
534,120,4,5,359
539,121,5,5,556
546,123,1,5,535
551,124,2,5,669
556,125,3,5,1730
561,126,4,5,566
566,127,5,5,638
570,128,6,5,51
575,129,1,5,432
580,130,2,5,618
585,131,3,5,408
590,132,4,5,491
595,133,5,5,309
598,134,6,5,51
604,136,1,5,474
609,137,2,5,515
