,date,day_of_week,brand,cnt
5,3,5,2,811
10,4,6,2,824
15,5,7,2,549
20,6,1,2,545
25,7,2,2,618
30,8,3,2,532
35,9,4,2,441
40,10,5,2,418
45,11,6,2,32
49,12,1,2,393
54,13,2,2,412
59,14,3,2,384
64,15,4,2,1824
69,16,5,2,570
74,17,6,2,95
79,19,1,2,646
84,20,2,2,380
89,21,3,2,473
94,22,4,2,372
99,23,5,2,304
104,24,6,2,48
109,25,1,2,532
114,26,2,2,523
119,27,3,2,577
124,28,4,2,186
129,29,5,2,456
134,30,6,2,63
139,32,1,2,659
144,33,2,2,602
149,34,3,2,532
154,35,4,2,430
159,36,5,2,177
164,38,5,2,13
166,39,6,2,364
171,40,7,2,343
176,41,1,2,304
181,42,2,2,238
186,43,3,2,562
191,44,4,2,290
196,45,5,2,279
200,46,6,2,16
205,47,1,2,304
210,48,2,2,396
215,49,3,2,310
220,50,4,2,232
225,51,5,2,342
232,53,1,2,266
237,54,2,2,206
242,55,3,2,266
247,56,4,2,244
252,57,5,2,228
257,58,6,2,32
263,60,1,2,329
268,61,2,2,253
273,62,3,2,237
278,63,4,2,314
283,64,5,2,342
291,66,1,2,317
296,67,2,2,380
301,68,3,2,399
306,69,4,2,348
311,70,5,2,342
316,71,6,2,16
321,72,1,2,291
326,73,2,2,285
331,74,3,2,444
336,75,4,2,232
341,76,5,2,444
346,77,6,2,32
351,79,1,2,215
356,80,2,2,507
361,81,3,2,429
368,83,5,2,13
372,85,7,2,398
377,86,1,2,329
382,87,2,2,348
387,88,3,2,325
392,89,4,2,360
397,90,5,2,355
401,91,6,2,32
406,92,1,2,469
411,93,2,2,253
416,94,3,2,429
421,95,4,2,337
426,96,5,2,291
431,97,6,2,32
434,98,7,2,14
437,99,1,2,444
442,100,2,2,364
447,101,3,2,296
452,102,4,2,232
457,103,5,2,317
462,104,6,2,539
467,105,7,2,206
472,106,1,2,38
474,107,4,2,337
479,108,5,2,393
483,109,6,2,48
487,110,1,2,431
492,111,2,2,380
497,112,3,2,355
502,113,4,2,163
507,114,5,2,482
512,115,6,2,48
516,117,1,2,659
521,118,2,2,459
526,119,3,2,547
531,120,4,2,244
536,121,5,2,380
541,122,6,2,16
543,123,1,2,444
548,124,2,2,570
553,125,3,2,2070
558,126,4,2,953
563,127,5,2,710
567,128,6,2,32
572,129,1,2,393
577,130,2,2,412
582,131,3,2,414
587,132,4,2,290
592,133,5,2,203
596,134,6,2,32
599,135,7,2,14
601,136,1,2,355
606,137,2,2,348
611,138,3,2,340
616,139,4,2,430
621,140,5,2,279
626,141,6,2,317
631,142,7,2,357
636,143,1,2,51
639,144,4,2,430
644,145,5,2,329
649,146,6,2,32
654,148,1,2,393
659,149,2,2,475
664,150,3,2,399
669,151,4,2,244
674,152,5,2,342
678,153,6,2,32
681,154,7,2,14
684,155,1,2,241
689,156,2,2,412
694,157,3,2,399
699,158,4,2,256
704,159,5,2,329
708,160,6,2,79
712,161,1,2,228
717,162,2,2,428
722,163,3,2,621
727,164,4,2,372
732,165,5,2,317
737,166,6,2,16
739,167,7,2,14
741,168,1,2,418
746,169,2,2,333
751,170,3,2,207
756,171,4,2,256
761,172,5,2,482
766,173,6,2,16
771,175,1,2,545
776,176,2,2,396
781,177,3,2,340
786,178,4,2,314
791,179,5,2,291
796,180,6,2,79
799,181,7,2,14
801,182,1,2,558
806,183,2,2,380
811,184,3,2,325
816,185,4,2,337
821,186,5,2,203
825,187,6,2,16
828,188,1,2,469
833,189,2,2,507
838,190,3,2,325
843,191,4,2,348
848,192,5,2,469
853,193,6,2,16
855,194,1,2,494
860,195,2,2,444
865,196,3,2,296
870,197,4,2,279
875,198,5,2,266
881,200,1,2,444
886,201,2,2,444
891,202,3,2,473
896,203,4,2,256
901,204,5,2,304
906,205,6,2,79
911,206,1,2,760
916,207,2,2,475
921,208,3,2,370
926,209,4,2,267
931,210,5,2,393
936,211,6,2,48
938,212,7,2,14
940,213,1,2,418
945,214,2,2,554
950,215,3,2,370
955,216,4,2,221
960,217,5,2,253
968,220,1,2,406
973,221,2,2,364
978,222,3,2,310
983,223,4,2,186
988,224,5,2,355
993,225,6,2,48
997,226,1,2,520
1002,227,2,2,475
1007,228,3,2,207
1012,229,4,2,488
1017,230,5,2,367
1021,231,6,2,32
1025,232,1,2,684
1030,233,2,2,348
1035,234,3,2,577
1040,235,4,2,12
1042,236,5,2,13
1044,237,7,2,645
1049,238,1,2,456
1054,239,2,2,412
1059,240,3,2,340
1064,241,4,2,372
1069,242,5,2,279
1074,243,6,2,63
1079,244,7,2,577
1084,245,1,2,532
1088,246,3,2,44
1092,248,6,2,16
1095,250,2,2,649
1100,251,3,2,458
1105,252,4,2,441
1110,253,5,2,253
1115,254,6,2,317
1121,256,1,2,393
1126,257,2,2,507
1131,258,3,2,606
1136,259,4,2,337
1141,260,5,2,355
1146,261,6,2,48
1150,262,1,2,304
1155,263,2,2,348
1160,264,3,2,251
1165,265,4,2,314
1170,266,5,2,291
1175,267,6,2,95
1179,268,1,2,418
1184,269,2,2,444
1189,270,3,2,325
1194,271,4,2,279
1199,272,5,2,127
1204,273,6,2,32
1208,274,1,2,329
1213,275,2,2,380
1218,276,3,2,251
1223,277,4,2,174
1228,278,5,2,317
1233,279,6,2,63
1237,280,1,2,355
1242,281,2,2,523
1247,282,3,2,414
1252,283,4,2,232
1257,284,5,2,304
1262,285,6,2,48
1266,286,1,2,367
1271,287,2,2,491
1276,288,3,2,310
1281,289,4,2,314
1286,290,5,2,406
1291,291,6,2,32
1297,293,1,2,482
1302,294,2,2,444
1307,295,3,2,384
1312,296,4,2,209
1317,297,5,2,393
1322,298,6,2,127
1327,299,1,2,355
1332,300,2,2,301
1337,301,3,2,384
1342,302,4,2,221
1347,303,5,2,367
1352,304,6,2,63
1356,305,1,2,190
1361,306,2,2,412
1366,307,3,2,503
1371,308,4,2,314
1376,309,5,2,380
1381,310,6,2,48
1385,311,1,2,380
1390,312,2,2,190
1395,313,3,2,310
1400,314,4,2,139
1405,315,5,2,317
1410,316,6,2,48
1415,317,1,2,304
1420,318,2,2,253
1425,319,3,2,177
1430,320,4,2,279
1435,321,5,2,241
1440,322,6,2,16
1443,323,1,2,291
1448,324,2,2,158
1453,325,4,2,631
1458,326,5,2,700
1463,327,6,2,61
1468,328,1,2,836
1473,329,2,2,1152
1478,330,3,2,430
1483,331,4,2,349
1488,332,5,2,393
1493,333,6,2,123
1498,334,1,2,406
1503,335,2,2,399
1508,336,3,2,416
1513,337,4,2,462
1518,338,5,2,700
1523,339,6,2,77
1527,340,1,2,578
1532,341,2,2,645
1537,342,3,2,502
1542,343,4,2,451
1547,344,5,2,725
1552,345,6,2,61
1556,346,7,2,386
1561,347,1,2,676
1566,348,2,2,584
1571,349,3,2,215
1576,350,4,2,34
1583,353,5,2,504
1588,354,6,2,415
1592,355,7,2,13
1594,356,1,2,565
1599,357,2,2,568
1604,358,3,2,229
1609,359,4,2,270
1614,360,5,2,307
1619,361,6,2,15
1625,363,1,2,270
1630,364,2,2,230
1635,365,3,2,272
1640,366,4,2,248
1645,367,5,2,221
1650,368,6,2,108
1653,369,7,2,13
1655,370,1,2,393
1660,371,2,2,676
1665,372,3,2,459
1670,373,4,2,248
1675,374,5,2,319
1680,375,6,2,123
1684,376,7,2,27
1686,377,1,2,258
1691,378,2,2,169
1696,379,3,2,272
1701,380,4,2,304
1706,381,5,2,197
1711,382,6,2,15
1716,383,1,2,307
1721,384,2,2,200
1726,385,3,2,301
1731,386,4,2,225
1736,387,5,2,172
1741,388,6,2,92
1745,389,1,2,283
1750,390,2,2,399
1755,391,3,2,301
1760,392,4,2,214
1765,393,5,2,307
1770,394,6,2,46
1774,395,1,2,233
1779,396,2,2,430
1784,397,3,2,659
1789,398,4,2,383
1794,399,5,2,430
1799,400,6,2,46
1804,402,1,2,356
1809,403,2,2,384
1814,404,3,2,387
1819,405,4,2,451
1824,406,5,2,221
1831,409,1,2,25
1833,410,2,2,676
1838,411,3,2,401
1843,412,4,2,315
1848,413,5,2,393
1853,414,6,2,31
1858,415,1,2,332
1863,416,2,2,461
1868,417,3,2,373
1873,418,4,2,631
1878,419,5,2,406
1883,420,6,2,61
1889,422,1,2,283
1894,423,2,2,461
1899,424,3,2,444
1904,425,4,2,248
1909,426,5,2,406
1914,427,6,2,77
1919,428,1,2,406
1924,429,2,2,384
1929,430,3,2,272
1933,431,5,2,12
1934,432,6,2,46
1937,433,7,2,306
1942,434,1,2,246
1947,435,2,2,507
1952,436,3,2,301
1957,437,4,2,428
1962,438,5,2,455
1966,439,6,2,77
1970,440,1,2,258
1975,441,2,2,338
1980,442,3,2,502
1985,443,4,2,259
1990,444,5,2,344
1995,445,6,2,77
2001,447,1,2,283
2006,448,2,2,323
2011,449,3,2,258
2016,450,4,2,248
2021,451,5,2,270
2025,452,6,2,46
2029,453,1,2,406
2034,454,2,2,338
2039,455,3,2,272
2044,456,4,2,293
2049,457,5,2,688
2054,458,6,2,15
2060,460,2,2,476
2065,461,3,2,387
2070,462,4,2,237
2075,463,5,2,295
2080,464,6,2,31
2083,465,7,2,13
2085,466,1,2,455
2090,467,2,2,384
2095,468,3,2,229
2100,469,4,2,191
2105,470,5,2,406
2110,471,6,2,31
2113,472,1,2,209
2118,473,2,2,230
2123,474,3,2,444
2128,475,4,2,293
2133,476,5,2,258
2138,477,6,2,31
2142,478,1,2,221
2147,479,2,2,307
2152,480,3,2,645
2157,481,4,2,304
2162,482,5,2,492
2167,483,6,2,61
2172,484,1,2,221
2177,485,2,2,522
2182,486,3,2,545
2187,487,4,2,259
2192,488,5,2,381
2197,489,6,2,61
2200,490,1,2,455
2205,491,2,2,599
2210,492,3,2,229
2215,493,4,2,338
2220,494,5,2,418
2224,495,6,2,46
2229,496,1,2,369
2234,497,2,2,353
2239,498,3,2,315
2244,499,4,2,248
2249,500,5,2,393
2254,501,6,2,77
2257,502,1,2,430
2262,503,2,2,445
2267,504,3,2,330
2272,505,4,2,315
2277,506,5,2,283
2281,507,6,2,15
2284,508,1,2,332
2289,509,2,2,323
2294,510,3,2,186
2299,511,4,2,180
2304,512,5,2,209
2308,513,6,2,15
2313,514,1,2,455
2318,515,2,2,599
2323,516,3,2,330
2328,517,4,2,146
2333,518,5,2,270
2338,519,6,2,46
2342,520,1,2,393
2347,521,2,2,184
2352,522,3,2,272
2357,523,4,2,214
