,date,day_of_week,brand,cnt
0,1,3,1,20
2,2,4,1,16
4,3,5,1,1411
9,4,6,1,1176
14,5,7,1,812
19,6,1,1,889
24,7,2,1,893
29,8,3,1,569
34,9,4,1,623
39,10,5,1,470
44,11,6,1,87
48,12,1,1,575
53,13,2,1,544
58,14,3,1,305
63,15,4,1,735
68,16,5,1,627
73,17,6,1,65
78,19,1,1,819
83,20,2,1,610
88,21,3,1,447
93,22,4,1,447
98,23,5,1,192
103,24,6,1,22
108,25,1,1,767
113,26,2,1,697
118,27,3,1,508
123,28,4,1,224
128,29,5,1,523
133,30,6,1,44
138,32,1,1,802
143,33,2,1,871
148,34,3,1,976
153,35,4,1,479
158,36,5,1,174
165,39,6,1,762
170,40,7,1,812
175,41,1,1,488
180,42,2,1,348
185,43,3,1,468
190,44,4,1,351
195,45,5,1,418
204,47,1,1,592
209,48,2,1,436
214,49,3,1,590
219,50,4,1,208
224,51,5,1,314
231,53,1,1,401
236,54,2,1,544
241,55,3,1,468
246,56,4,1,335
251,57,5,1,261
256,58,6,1,44
260,59,7,1,19
262,60,1,1,732
267,61,2,1,436
272,62,3,1,407
277,63,4,1,303
282,64,5,1,261
290,66,1,1,470
295,67,2,1,457
300,68,3,1,346
305,69,4,1,367
310,70,5,1,418
315,71,6,1,44
320,72,1,1,401
325,73,2,1,479
330,74,3,1,305
335,75,4,1,240
340,76,5,1,227
345,77,6,1,22
350,79,1,1,157
355,80,2,1,501
360,81,3,1,366
365,82,4,1,16
367,83,5,1,17
371,85,7,1,415
376,86,1,1,453
381,87,2,1,327
386,88,3,1,264
391,89,4,1,112
396,90,5,1,279
405,92,1,1,488
410,93,2,1,523
415,94,3,1,346
420,95,4,1,367
425,96,5,1,314
430,97,6,1,22
436,99,1,1,540
441,100,2,1,261
446,101,3,1,244
451,102,4,1,319
456,103,5,1,314
461,104,6,1,131
466,105,7,1,245
471,106,1,1,35
473,107,4,1,607
478,108,5,1,488
486,110,1,1,488
491,111,2,1,544
496,112,3,1,468
501,113,4,1,303
506,114,5,1,261
511,115,6,1,22
515,117,1,1,348
520,118,2,1,414
525,119,3,1,346
530,120,4,1,176
535,121,5,1,505
540,122,6,1,22
542,123,1,1,366
547,124,2,1,370
552,125,3,1,488
557,126,4,1,176
562,127,5,1,174
571,129,1,1,401
576,130,2,1,436
581,131,3,1,183
586,132,4,1,240
591,133,5,1,314
600,136,1,1,418
605,137,2,1,544
610,138,3,1,468
615,139,4,1,303
620,140,5,1,192
625,141,6,1,218
630,142,7,1,170
635,143,1,1,17
638,144,4,1,527
643,145,5,1,261
648,146,6,1,65
653,148,1,1,401
658,149,2,1,305
663,150,3,1,244
668,151,4,1,240
673,152,5,1,244
683,155,1,1,418
688,156,2,1,653
693,157,3,1,122
698,158,4,1,208
703,159,5,1,348
711,161,1,1,418
716,162,2,1,348
721,163,3,1,366
726,164,4,1,224
731,165,5,1,331
736,166,6,1,65
740,168,1,1,436
745,169,2,1,283
750,170,3,1,325
755,171,4,1,128
760,172,5,1,261
765,173,6,1,22
770,175,1,1,418
775,176,2,1,305
780,177,3,1,264
785,178,4,1,144
790,179,5,1,331
795,180,6,1,22
800,182,1,1,261
805,183,2,1,544
810,184,3,1,163
815,185,4,1,96
820,186,5,1,192
827,188,1,1,331
832,189,2,1,370
837,190,3,1,244
842,191,4,1,240
847,192,5,1,418
852,193,6,1,65
854,194,1,1,296
859,195,2,1,436
864,196,3,1,264
869,197,4,1,176
874,198,5,1,139
880,200,1,1,418
885,201,2,1,218
890,202,3,1,264
895,203,4,1,160
900,204,5,1,105
905,205,6,1,44
910,206,1,1,505
915,207,2,1,414
920,208,3,1,41
925,209,4,1,208
930,210,5,1,296
935,211,6,1,44
939,213,1,1,610
944,214,2,1,392
949,215,3,1,264
954,216,4,1,224
959,217,5,1,227
964,218,6,1,22
967,220,1,1,418
972,221,2,1,501
977,222,3,1,346
982,223,4,1,240
987,224,5,1,244
992,225,6,1,109
996,226,1,1,470
1001,227,2,1,501
1006,228,3,1,325
1011,229,4,1,447
1016,230,5,1,314
1024,232,1,1,418
1029,233,2,1,479
1034,234,3,1,386
1039,235,4,1,16
1043,237,7,1,547
1048,238,1,1,383
1053,239,2,1,523
1058,240,3,1,508
1063,241,4,1,335
1068,242,5,1,314
1073,243,6,1,44
1078,244,7,1,321
1083,245,1,1,366
1091,247,5,1,17
1093,249,7,1,19
1094,250,2,1,1111
1099,251,3,1,630
1104,252,4,1,479
1109,253,5,1,348
1114,254,6,1,305
1119,255,7,1,19
1120,256,1,1,488
1125,257,2,1,784
1130,258,3,1,650
1135,259,4,1,192
1140,260,5,1,366
1145,261,6,1,44
1149,262,1,1,558
1154,263,2,1,871
1159,264,3,1,386
1164,265,4,1,335
1169,266,5,1,453
1174,267,6,1,44
1178,268,1,1,558
1183,269,2,1,501
1188,270,3,1,305
1193,271,4,1,335
1198,272,5,1,540
1203,273,6,1,44
1207,274,1,1,592
1212,275,2,1,479
1217,276,3,1,386
1222,277,4,1,287
1227,278,5,1,540
1232,279,6,1,65
1236,280,1,1,470
1241,281,2,1,784
1246,282,3,1,447
1251,283,4,1,160
1256,284,5,1,523
1261,285,6,1,65
1265,286,1,1,523
1270,287,2,1,261
1275,288,3,1,305
1280,289,4,1,176
1285,290,5,1,383
1290,291,6,1,22
1296,293,1,1,453
1301,294,2,1,675
1306,295,3,1,488
1311,296,4,1,351
1316,297,5,1,418
1321,298,6,1,65
1326,299,1,1,505
1331,300,2,1,588
1336,301,3,1,508
1341,302,4,1,192
1346,303,5,1,227
1351,304,6,1,131
1355,305,1,1,453
1360,306,2,1,544
1365,307,3,1,447
1370,308,4,1,272
1375,309,5,1,366
1380,310,6,1,65
1384,311,1,1,592
1389,312,2,1,436
1394,313,3,1,630
1399,314,4,1,351
1404,315,5,1,488
1409,316,6,1,44
1414,317,1,1,401
1419,318,2,1,457
1424,319,3,1,366
1429,320,4,1,256
1434,321,5,1,366
1439,322,6,1,109
1442,323,1,1,383
1447,324,2,1,327
1452,325,4,1,1084
1457,326,5,1,1453
1462,327,6,1,232
1467,328,1,1,1436
1472,329,2,1,993
1477,330,3,1,1064
1482,331,4,1,635
1487,332,5,1,828
1492,333,6,1,127
1497,334,1,1,777
1502,335,2,1,739
1507,336,3,1,611
1512,337,4,1,743
1517,338,5,1,541
1522,339,6,1,106
1526,340,1,1,912
1531,341,2,1,739
1536,342,3,1,966
1541,343,4,1,589
1546,344,5,1,794
1551,345,6,1,42
1555,346,7,1,311
1560,347,1,1,895
1565,348,2,1,1119
1570,349,3,1,394
1575,350,4,1,77
1582,353,5,1,1081
1587,354,6,1,993
1593,356,1,1,1064
1598,357,2,1,824
1603,358,3,1,769
1608,359,4,1,589
1613,360,5,1,406
1618,361,6,1,42
1623,362,7,1,18
1624,363,1,1,760
1629,364,2,1,824
1634,365,3,1,591
1639,366,4,1,387
1644,367,5,1,507
1649,368,6,1,63
1654,370,1,1,558
1659,371,2,1,972
1664,372,3,1,670
1669,373,4,1,480
1674,374,5,1,389
1679,375,6,1,21
1685,377,1,1,558
1690,378,2,1,803
1695,379,3,1,513
1700,380,4,1,387
1705,381,5,1,304
1710,382,6,1,127
1715,383,1,1,541
1720,384,2,1,549
1725,385,3,1,591
1730,386,4,1,387
1735,387,5,1,338
1740,388,6,1,63
1744,389,1,1,625
1749,390,2,1,824
1754,391,3,1,434
1759,392,4,1,232
1764,393,5,1,372
1769,394,6,1,42
1773,395,1,1,473
1778,396,2,1,528
1783,397,3,1,828
1788,398,4,1,263
1793,399,5,1,558
1798,400,6,1,42
1803,402,1,1,406
1808,403,2,1,380
1813,404,3,1,611
1818,405,4,1,465
1823,406,5,1,287
1830,409,1,1,34
1832,410,2,1,781
1837,411,3,1,710
1842,412,4,1,356
1847,413,5,1,338
1852,414,6,1,21
1857,415,1,1,439
1862,416,2,1,444
1867,417,3,1,355
1872,418,4,1,449
1877,419,5,1,456
1882,420,6,1,84
1888,422,1,1,541
1893,423,2,1,824
1898,424,3,1,355
1903,425,4,1,356
1908,426,5,1,693
1913,427,6,1,21
1918,428,1,1,473
1923,429,2,1,465
1928,430,3,1,355
1936,433,7,1,842
1941,434,1,1,524
1946,435,2,1,655
1951,436,3,1,552
1956,437,4,1,527
1961,438,5,1,270
1969,440,1,1,372
1974,441,2,1,570
1979,442,3,1,335
1984,443,4,1,248
1989,444,5,1,389
1994,445,6,1,21
1999,446,7,1,18
2000,447,1,1,574
2005,448,2,1,465
2010,449,3,1,197
2015,450,4,1,248
2020,451,5,1,321
2028,453,1,1,456
2033,454,2,1,380
2038,455,3,1,177
2043,456,4,1,248
2048,457,5,1,270
2053,458,6,1,84
2059,460,2,1,697
2064,461,3,1,434
2069,462,4,1,279
2074,463,5,1,507
2079,464,6,1,42
2084,466,1,1,439
2089,467,2,1,275
2094,468,3,1,197
2099,469,4,1,341
2104,470,5,1,287
2109,471,6,1,106
2112,472,1,1,507
2117,473,2,1,507
2122,474,3,1,375
2127,475,4,1,217
2132,476,5,1,439
2137,477,6,1,21
2141,478,1,1,439
2146,479,2,1,612
2151,480,3,1,532
2156,481,4,1,356
2161,482,5,1,253
