,date,day_of_week,brand,cnt
7,3,5,4,773
12,4,6,4,1057
17,5,7,4,759
22,6,1,4,725
27,7,2,4,1298
32,8,3,4,648
37,9,4,4,554
42,10,5,4,459
51,12,1,4,725
56,13,2,4,574
61,14,3,4,507
66,15,4,4,598
71,16,5,4,411
75,17,6,4,30
81,19,1,4,918
86,20,2,4,664
91,21,3,4,366
96,22,4,4,332
101,23,5,4,556
106,24,6,4,30
111,25,1,4,725
116,26,2,4,483
121,27,3,4,451
126,28,4,4,266
131,29,5,4,676
135,30,6,4,121
141,32,1,4,942
146,33,2,4,966
151,34,3,4,705
156,35,4,4,686
161,36,5,4,97
168,39,6,4,574
173,40,7,4,785
178,41,1,4,725
183,42,2,4,604
188,43,3,4,676
193,44,4,4,664
198,45,5,4,459
202,46,6,4,91
207,47,1,4,580
212,48,2,4,513
217,49,3,4,507
222,50,4,4,332
227,51,5,4,386
230,52,6,4,60
234,53,1,4,628
239,54,2,4,393
244,55,3,4,395
249,56,4,4,310
254,57,5,4,314
265,60,1,4,266
270,61,2,4,393
275,62,3,4,535
280,63,4,4,310
285,64,5,4,242
288,65,6,4,60
293,66,1,4,362
298,67,2,4,423
303,68,3,4,310
308,69,4,4,221
313,70,5,4,193
318,71,6,4,60
323,72,1,4,338
328,73,2,4,453
333,74,3,4,254
338,75,4,4,310
343,76,5,4,242
347,77,6,4,91
353,79,1,4,121
358,80,2,4,423
363,81,3,4,338
366,82,4,4,44
370,84,6,4,30
374,85,7,4,393
379,86,1,4,483
384,87,2,4,242
389,88,3,4,366
394,89,4,4,266
399,90,5,4,290
403,91,6,4,60
408,92,1,4,266
413,93,2,4,151
418,94,3,4,282
423,95,4,4,266
428,96,5,4,242
433,97,6,4,30
439,99,1,4,266
444,100,2,4,332
449,101,3,4,225
454,102,4,4,111
459,103,5,4,266
464,104,6,4,272
469,105,7,4,209
476,107,4,4,354
481,108,5,4,362
484,109,6,4,30
489,110,1,4,483
494,111,2,4,513
499,112,3,4,254
504,113,4,4,177
509,114,5,4,314
518,117,1,4,435
523,118,2,4,362
528,119,3,4,197
533,120,4,4,133
538,121,5,4,290
545,123,1,4,338
550,124,2,4,332
555,125,3,4,395
560,126,4,4,266
565,127,5,4,217
569,128,6,4,30
574,129,1,4,290
579,130,2,4,242
584,131,3,4,254
589,132,4,4,221
594,133,5,4,121
597,134,6,4,30
603,136,1,4,507
608,137,2,4,211
613,138,3,4,113
618,139,4,4,288
623,140,5,4,169
628,141,6,4,181
633,142,7,4,79
641,144,4,4,332
646,145,5,4,314
652,147,7,4,26
656,148,1,4,338
661,149,2,4,513
666,150,3,4,169
671,151,4,4,66
676,152,5,4,193
686,155,1,4,386
691,156,2,4,332
696,157,3,4,254
701,158,4,4,177
706,159,5,4,169
714,161,1,4,217
719,162,2,4,242
724,163,3,4,85
729,164,4,4,221
734,165,5,4,169
743,168,1,4,242
748,169,2,4,211
753,170,3,4,197
758,171,4,4,44
763,172,5,4,193
767,173,6,4,30
773,175,1,4,217
778,176,2,4,302
783,177,3,4,197
788,178,4,4,199
793,179,5,4,193
803,182,1,4,266
808,183,2,4,121
813,184,3,4,225
818,185,4,4,22
823,186,5,4,121
830,188,1,4,242
835,189,2,4,121
840,190,3,4,254
845,191,4,4,221
850,192,5,4,169
857,194,1,4,290
862,195,2,4,242
867,196,3,4,169
872,197,4,4,133
877,198,5,4,121
883,200,1,4,314
888,201,2,4,242
893,202,3,4,310
898,203,4,4,66
903,204,5,4,72
908,205,6,4,30
913,206,1,4,290
918,207,2,4,272
923,208,3,4,169
928,209,4,4,199
933,210,5,4,217
937,211,6,4,30
942,213,1,4,242
947,214,2,4,242
952,215,3,4,169
957,216,4,4,221
962,217,5,4,72
966,219,7,4,26
970,220,1,4,72
975,221,2,4,332
980,222,3,4,169
985,223,4,4,89
990,224,5,4,97
994,225,6,4,60
999,226,1,4,193
1004,227,2,4,181
1009,228,3,4,169
1014,229,4,4,155
1019,230,5,4,121
1027,232,1,4,121
1032,233,2,4,211
1037,234,3,4,310
1046,237,7,4,157
1051,238,1,4,362
1056,239,2,4,302
1061,240,3,4,197
1066,241,4,4,332
1071,242,5,4,266
1076,243,6,4,30
1081,244,7,4,236
1086,245,1,4,169
1097,250,2,4,574
1102,251,3,4,254
1107,252,4,4,155
1112,253,5,4,217
1117,254,6,4,242
1123,256,1,4,362
1128,257,2,4,302
1133,258,3,4,338
1138,259,4,4,66
1143,260,5,4,290
1152,262,1,4,338
1157,263,2,4,332
1162,264,3,4,282
1167,265,4,4,155
1172,266,5,4,169
1181,268,1,4,266
1186,269,2,4,272
1191,270,3,4,310
1196,271,4,4,155
1201,272,5,4,193
1210,274,1,4,386
1215,275,2,4,181
1220,276,3,4,169
